Diện tích,Mức giá,Số phòng ngủ,Số toilet,Pháp lý,Quận,Thành phố,Loại,Địa chỉ,Ngày đăng,Mặt tiền,Đường vào,Số tầng,Nội thất,Hướng nhà,Hướng ban công
62 m²,"20,6 tỷ",16 phòng,17 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Cầu Giấy,Nhà riêng tại đường Cầu Giấy,"Đường Cầu Giấy, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",07/05/2024,5 m,5 m,10 tầng,Đầy đủ.,,
154 m²,9 tỷ,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Cầu Giấy,Căn hộ chung cư tại The Park Home,"Dự án The Park Home, Đường Thành Thái, Phường Dịch Vọng, Cầu Giấy, Hà Nội",06/05/2024,,,,Cơ bản,Tây - Bắc,Đông - Nam
50 m²,"8,9 tỷ",,,Sổ đỏ/ Sổ hồng,Hà Nội,Hà Đông,Nhà riêng tại đường Lê Trọng Tấn,"Đường Lê Trọng Tấn, Phường La Khê, Hà Đông, Hà Nội",02/05/2024,4 m,10 m,,Cơ bản,,
119 m²,45 tỷ,,,Sổ đỏ/ Sổ hồng,Hà Nội,Hai Bà Trưng,Nhà mặt phố tại đường Lê Đại Hành,"Đường Lê Đại Hành, Phường Lê Đại Hành, Hai Bà Trưng, Hà Nội",07/05/2024,6 m,,2 tầng,,,
90 m²,"4,8 tỷ",2 phòng,2 phòng,Đang chờ sổ.,Hà Nội,Cầu Giấy,Căn hộ chung cư tại Hà Nội Paragon,"Dự án Hà Nội Paragon, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",06/05/2024,,,,Đầy đủ.,Bắc,Nam
75 m²,"13,9 tỷ",8 phòng,8 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Long Biên,Nhà riêng tại đường Phố Trạm,"Đường Phố Trạm, Phường Long Biên, Long Biên, Hà Nội",07/05/2024,7 m,,6 tầng,Đầy đủ,,
101 m²,"5,5 tỷ",3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại Roman Plaza,"Dự án Roman Plaza, Đường Tố Hữu, Phường Đại Mỗ, Nam Từ Liêm, Hà Nội",06/05/2024,,,,Đầy đủ,Tây - Bắc,Đông - Nam
75 m²,"13,9 tỷ",8 phòng,8 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Long Biên,Nhà riêng tại đường Phố Trạm,"Đường Phố Trạm, Phường Long Biên, Long Biên, Hà Nội",07/05/2024,7 m,,6 tầng,Đầy đủ,,
101 m²,"5,5 tỷ",3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại Roman Plaza,"Dự án Roman Plaza, Đường Tố Hữu, Phường Đại Mỗ, Nam Từ Liêm, Hà Nội",06/05/2024,,,,Đầy đủ,Tây - Bắc,Đông - Nam
40 m²,"5,65 tỷ",4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Hoàng Mai,Nhà riêng tại đường Đại Từ,"Đường Đại Từ, Phường Đại Kim, Hoàng Mai, Hà Nội",30/04/2024,,,5 tầng,Đầy đủ.,,
138 m²,"6,6 tỷ",3 phòng,2 phòng,Đang chờ sổ.,Hà Nội,Cầu Giấy,Căn hộ chung cư tại Hà Nội Paragon,"Dự án Hà Nội Paragon, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",06/05/2024,,,,Đầy đủ.,Bắc,Nam
40 m²,"5,6 tỷ",4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Hoàng Mai,Nhà riêng tại đường Đại Từ,"Ngõ 236, Đường Đại Từ, Phường Đại Kim, Hoàng Mai, Hà Nội",30/04/2024,,,5 tầng,Đầy đủ.,,
40 m²,"7,68 tỷ",4 phòng,4 phòng,Sổ đỏ/ Sổ hồng.,Hà Nội,Thanh Xuân,Nhà riêng tại đường Khương Đình,"Đường Khương Đình, Phường Hạ Đình, Thanh Xuân, Hà Nội",07/05/2024,"3,8 m",,6 tầng,,,
180 m²,55 tỷ,7 phòng,14 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Thanh Xuân,Nhà mặt phố tại đường Vương Thừa Vũ,"Đường Vương Thừa Vũ, Phường Khương Trung, Thanh Xuân, Hà Nội",07/05/2024,5 m,20 m,7 tầng,Đầy đủ,,
90 m²,"4,9 tỷ",3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Hà Đông,Căn hộ chung cư tại The Terra An Hưng,"Dự án The Terra An Hưng, Phường Dương Nội, Hà Đông, Hà Nội",02/05/2024,,,,Đầy đủ nội thất liền tường gỗ An Cường.,Tây - Bắc,Đông - Nam
33 m²,"5,5 tỷ",3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Hoàng Mai,Nhà riêng tại đường Đại Từ,"Đường Đại Từ, Phường Đại Kim, Hoàng Mai, Hà Nội",30/04/2024,5 m,,5 tầng,Đầy đủ.,,
126 m²,7 tỷ,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Cầu Giấy,Căn hộ chung cư tại Bamboo Airways Tower,"Bamboo Airways Tower, 265, Đường Cầu Giấy, Phường Dịch Vọng, Cầu Giấy, Hà Nội",02/05/2024,,,,Đầy đủ,Tây - Bắc,Đông - Nam
38 m²,"5,3 tỷ",3 phòng,4 phòng,Sổ đỏ,Hà Nội,Nam Từ Liêm,Nhà riêng tại phường Phú Đô,"Phường Phú Đô, Nam Từ Liêm, Hà Nội",02/05/2024,,,5 tầng,,Tây - Bắc,Tây - Bắc
72 m²,"4,7 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Cầu Giấy,Căn hộ chung cư tại A10-A14 Nam Trung Yên,"Dự án A10-A14 Nam Trung Yên, Phường Yên Hòa, Cầu Giấy, Hà Nội",02/05/2024,,,,Đầy đủ,Tây - Bắc,Đông - Nam
35 m²,"4,7 tỷ",4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Bắc Từ Liêm,Nhà riêng tại đường Xuân Đỉnh,"Ngõ 207, Đường Xuân Đỉnh, Phường Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",06/05/2024,,,5 tầng,Cơ bản,,
31 m²,"3,9 tỷ",3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Hoàng Mai,Nhà riêng tại đường Ngọc Hồi,"Đường Ngọc Hồi, Phường Hoàng Liệt, Hoàng Mai, Hà Nội",06/05/2024,,,5 tầng,Đầy đủ,,
114 m²,"4,8 tỷ",3 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,Hà Nội,Hà Đông,Căn hộ chung cư tại Hồ Gươm Plaza,"Dự án Hồ Gươm Plaza, Đường Trần Phú, Phường Mỗ Lao, Hà Đông, Hà Nội.",03/05/2024,,,,Đầy đủ,,
72 m²,"9,9 tỷ",4 phòng,3 phòng,Sổ đỏ/ Sổ hồng.,Hà Nội,Thanh Xuân,Nhà riêng tại đường Hoàng Văn Thái,"Đường Hoàng Văn Thái, Phường Khương Đình, Thanh Xuân, Hà Nội",07/05/2024,,,4 tầng,,,
34 m²,"5,2 tỷ",4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Nam Từ Liêm,Nhà riêng tại phường Mỹ Đình 2,"Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",02/05/2024,,"3,5 m",5 tầng,Đầy đủ,Đông - Nam,Đông - Nam
65 m²,3 tỷ,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại The Garden Hills - 99 Trần Bình,"Dự án The Garden Hills - 99 Trần Bình, Phố Trần Bình, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",07/05/2024,,,,Đầy đủ.,Đông - Bắc,Tây - Nam
52 m²,"13,5 tỷ",4 phòng,,,Hà Nội,Cầu Giấy,Nhà riêng tại phố Phạm Tuấn Tài,"Phố Phạm Tuấn Tài, Phường Nghĩa Tân, Cầu Giấy, Hà Nội",07/05/2024,4 m,,5 tầng,,,
44 m²,"5,55 tỷ",4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Nam Từ Liêm,Nhà riêng tại phường Phú Đô,"Phường Phú Đô, Nam Từ Liêm, Hà Nội",03/05/2024,4 m,4 m,5 tầng,Đầy đủ,Đông,Đông
65 m²,3 tỷ,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại The Garden Hills - 99 Trần Bình,"Dự án The Garden Hills - 99 Trần Bình, Phố Trần Bình, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",07/05/2024,,,,Đầy đủ.,Đông - Bắc,Tây - Nam
52 m²,"13,5 tỷ",4 phòng,,,Hà Nội,Cầu Giấy,Nhà riêng tại phố Phạm Tuấn Tài,"Phố Phạm Tuấn Tài, Phường Nghĩa Tân, Cầu Giấy, Hà Nội",07/05/2024,4 m,,5 tầng,,,
44 m²,"5,55 tỷ",4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Nam Từ Liêm,Nhà riêng tại phường Phú Đô,"Phường Phú Đô, Nam Từ Liêm, Hà Nội",03/05/2024,4 m,4 m,5 tầng,Đầy đủ,Đông,Đông
60 m²,"2,9 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Hà Đông,Căn hộ chung cư tại The K Park,"Dự án The K Park, Đường Lê Trọng Tấn, Phường Phúc La, Hà Đông, Hà Nội",07/05/2024,,,,Full nội thất.,,
76 m²,"20,5 tỷ",,,Sổ đỏ/ Sổ hồng,Hà Nội,Tây Hồ,Nhà mặt phố tại đường Âu Cơ,"Đường Âu Cơ, Phường Tứ Liên, Tây Hồ, Hà Nội",06/05/2024,"5,8 m",,3 tầng,,,
36 m²,"5,2 tỷ",3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Nam Từ Liêm,Nhà riêng tại phường Mỹ Đình 1,"Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội",02/05/2024,"3,7 m",3 m,5 tầng,Đầy đủ,,
81 m²,65 triệu/m²,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Thanh Xuân,Căn hộ chung cư tại The Golden Palm Lê Văn Lương,"Dự án The Golden Palm Lê Văn Lương, Quận Thanh Xuân, Hà Nội",06/05/2024,,,,Đầy đủ,Tây - Bắc,Đông - Nam
99 m²,"5,2 tỷ",3 phòng,2 phòng,Hợp đồng mua bán.,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại The Sun Mễ Trì,"Dự án The Sun Mễ Trì, đường Mễ Trì, Phường Mễ Trì, Nam Từ Liêm, Hà Nội.",02/05/2024,,,,Đầy đủ.,Tây - Bắc,Đông - Nam
90 m²,"15,4 tỷ",,,Sổ đỏ/ Sổ hồng,Hà Nội,Long Biên,Nhà mặt phố tại đường Phúc Lợi,"Đường Phúc Lợi, Phường Phúc Lợi, Long Biên, Hà Nội",07/05/2024,5 m,,5 tầng,Đầy đủ.,,
143 m²,Thỏa thuận,,,Sổ đỏ/ Sổ hồng,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại Lumi Hanoi,"Dự án Lumi Hanoi, Đường Đại lộ Thăng Long, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội.",04/05/2024,,,,Không nội thất.,,Đông - Nam
33 m²,"5,5 tỷ",4 phòng,5 phòng,Sổ đỏ/ Sổ hồng.,Hà Nội,Cầu Giấy,Nhà riêng tại đường Phạm Văn Đồng,"Đường Phạm Văn Đồng, Phường Mai Dịch, Cầu Giấy, Hà Nội",07/05/2024,4 m,4 m,6 tầng,Đầy đủ,,
58 m²,15 tỷ,4 phòng,,Sổ phân lô,Hà Nội,Cầu Giấy,Nhà riêng tại phố Phùng Chí Kiên,"Phố Phùng Chí Kiên, Phường Nghĩa Tân, Cầu Giấy, Hà Nội",07/05/2024,"4,5 m",,6 tầng,,,
42 m²,Thỏa thuận,8 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Cầu Giấy,Nhà riêng tại phường Yên Hòa,"Phường Yên Hòa, Cầu Giấy, Hà Nội",07/05/2024,"3,5 m",3 m,6 tầng,Đầy đủ,Đông - Nam,Đông - Nam
33 m²,"11,6 tỷ",,,Sổ đỏ/ Sổ hồng,Hà Nội,Đống Đa,Nhà mặt phố tại đường Trường Chinh,"Đường Trường Chinh, Phường Khương Thượng, Đống Đa, Hà Nội",28/04/2024,,,2 tầng,,,
37 m²,"5,7 tỷ",4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Long Biên,Nhà riêng tại đường Thạch Bàn,"Đường Thạch Bàn, Phường Thạch Bàn, Long Biên, Hà Nội",07/05/2024,4 m,"2,8 m",5 tầng,Cơ bản,Đông - Bắc,Đông - Bắc
38 m²,"5,95 tỷ",,,Sổ vuông,Hà Nội,Nam Từ Liêm,Nhà riêng tại đường Lê Đức Thọ,"Đường Lê Đức Thọ, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",04/05/2024,,,5 tầng,,,
31 m²,"3,85 tỷ",3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Hoàng Mai,Nhà riêng tại đường Bằng Liệt,"Đường Bằng Liệt, Phường Hoàng Liệt, Hoàng Mai, Hà Nội",02/05/2024,,,5 tầng,,,
58 m²,Thỏa thuận,2 phòng,,Sổ đỏ/ Sổ hồng,Hà Nội,Bắc Từ Liêm,Căn hộ chung cư tại The Link 345-CT1,"Dự án The Link 345-CT1, Phường Đông Ngạc, Bắc Từ Liêm, Hà Nội",07/05/2024,,,,Đầy đủ nội thất.,,
45 m²,"4,4 tỷ",4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Hoàng Mai,Nhà riêng tại đường Trương Định,"Đường Trương Định, Phường Tương Mai, Hoàng Mai, Hà Nội",01/05/2024,,,4 tầng,Cơ bản.,,
50 m²,Thỏa thuận,13 phòng,13 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Đống Đa,Nhà riêng tại phố Pháo Đài Láng,"Phố Pháo Đài Láng, Phường Láng Thượng, Đống Đa, Hà Nội",04/05/2024,"4,5 m",2 m,8 tầng,Đầy đủ,,
58 m²,Thỏa thuận,2 phòng,,Sổ đỏ/ Sổ hồng,Hà Nội,Bắc Từ Liêm,Căn hộ chung cư tại The Link 345-CT1,"Dự án The Link 345-CT1, Phường Đông Ngạc, Bắc Từ Liêm, Hà Nội",07/05/2024,,,,Đầy đủ nội thất.,,
45 m²,"4,4 tỷ",4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Hoàng Mai,Nhà riêng tại đường Trương Định,"Đường Trương Định, Phường Tương Mai, Hoàng Mai, Hà Nội",01/05/2024,,,4 tầng,Cơ bản.,,
50 m²,Thỏa thuận,13 phòng,13 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Đống Đa,Nhà riêng tại phố Pháo Đài Láng,"Phố Pháo Đài Láng, Phường Láng Thượng, Đống Đa, Hà Nội",04/05/2024,"4,5 m",2 m,8 tầng,Đầy đủ,,
30 m²,"2,75 tỷ",3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Hoài Đức,Nhà riêng tại xã Kim Chung,"Xã Kim Chung, Hoài Đức, Hà Nội",06/05/2024,7 m,"2,2 m",5 tầng,Cơ bản,Tây,Tây
"46,5 m²","4,2 tỷ",3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Tây Hồ,Nhà riêng tại đường Âu Cơ,"Đường Âu Cơ, Phường Tứ Liên, Tây Hồ, Hà Nội",28/04/2024,,,3 tầng,Cơ bản,,
75 m²,"1,15 tỷ",2 phòng,1 phòng,Pháp lý: chưa sổ đỏ ( đầy đủ giấy tờ nộp thuế đất và vi bằng mua bán ),Hà Nội,Nam Từ Liêm,Nhà riêng tại đường Đại Linh,"Đường Đại Linh, Phường Trung Văn, Nam Từ Liêm, Hà Nội.",07/05/2024,,,2 tầng,,,
54 m²,20 tỷ,,,Sổ đỏ,Hà Nội,Tây Hồ,Nhà mặt phố tại đường Lạc Long Quân,"Đường Lạc Long Quân, Phường Xuân La, Tây Hồ, Hà Nội",07/05/2024,,,4 tầng,Cơ bản,,
133 m²,"28,5 tỷ",,,Sổ đỏ/ Sổ hồng,Hà Nội,Ba Đình,Nhà mặt phố tại phố Đốc Ngữ,"Phố Đốc Ngữ, Phường Cống Vị, Ba Đình, Hà Nội",07/05/2024,"5,1 m",,4 tầng,,Đông - Nam,
120 m²,18 tỷ,,,Sổ đỏ/ Sổ hồng,Hà Nội,Gia Lâm,Nhà mặt phố tại đường Trâu Quỳ,"Đường Trâu Quỳ, Thị trấn Trâu Quỳ, Gia Lâm, Hà Nội",03/05/2024,,,6 tầng,,,
45 m²,"11,4 tỷ",8 phòng,6 phòng,Sổ đỏ chính chủ sẵn giao dịch,Hà Nội,Hà Đông,Nhà mặt phố tại đường Ao Sen,"Đường Mỗ Lao, Phường Mỗ Lao, Hà Đông, Hà Nội",02/05/2024,,,7 tầng,Full đầy đủ nội thất cao cấp,,
128 m²,"23,5 tỷ",,,Sổ đỏ,Hà Nội,Ba Đình,Nhà riêng tại đường Hoàng Hoa Thám,"Đường Hoàng Hoa Thám, Phường Cống Vị, Ba Đình, Hà Nội",07/05/2024,"3,8 m",10 m,,Đầy đủ,,
61 m²,17 tỷ,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Thanh Xuân,Nhà mặt phố tại đường Nguyễn Ngọc Nại,"Đường Nguyễn Ngọc Nại, Phường Khương Trung, Thanh Xuân, Hà Nội",07/05/2024,"3,5 m",20 m,4 tầng,Đầy đủ,,
50 m²,"3,65 tỷ",,,,Hà Nội,Quốc Oai,Nhà mặt phố tại xã Đại Thành,"Xã Đại Thành, Quốc Oai, Hà Nội",07/05/2024,,,,,,
31 m²,"19,5 tỷ",4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Cầu Giấy,Nhà riêng tại đường Cầu Giấy,"Đường Cầu Giấy, Phường Quan Hoa, Cầu Giấy, Hà Nội",07/05/2024,"3,2 m",,5 tầng,Đầy đủ,,
94 m²,"6,1 tỷ",3 phòng,2 phòng,,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại Mỹ Đình Pearl,"Dự án Mỹ Đình Pearl, Phường Phú Đô, Nam Từ Liêm, Hà Nội",03/05/2024,,,,Đầy đủ,Tây - Nam,Đông - Bắc
114 m²,Thỏa thuận,3 phòng,,,Hà Nội,Tây Hồ,Căn hộ chung cư tại Khu đô thị Nam Thăng Long - Ciputra,"Dự án Ciputra Hà Nội, Đường Lạc Long Quân, Phường Phú Thượng, Tây Hồ, Hà Nội",07/05/2024,,,,,,
130 m²,"15,5 tỷ",26 phòng,26 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Bắc Từ Liêm,Nhà riêng tại đường Phạm Văn Đồng,"Đường Phạm Văn Đồng, Phường Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",02/05/2024,10 m,3 m,7 tầng,Đầy đủ.,,
76 m²,3 tỷ,2 phòng,,Sổ đỏ/ Sổ hồng,Hà Nội,Hoàng Mai,Căn hộ chung cư tại Khu đô thị mới Linh Đàm,"Dự án KĐT Linh Đàm, Phường Đại Kim, Hoàng Mai, Hà Nội",04/05/2024,,,,Đầy đủ.,,
94 m²,"11,3 tỷ",,,Sổ đỏ/ Sổ hồng,Hà Nội,Cầu Giấy,Nhà riêng tại đường Hoàng Ngân,"Đường Hoàng Ngân, Phường Trung Hòa, Cầu Giấy, Hà Nội",03/05/2024,9 m,,3 tầng,,,
60 m²,"9,5 tỷ",12 phòng,12 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Hoàng Mai,Nhà riêng tại đường Minh Khai,"Đường Minh Khai, Phường Hoàng Văn Thụ, Hoàng Mai, Hà Nội",07/05/2024,"5,9 m",2 m,6 tầng,Đầy đủ,,
94 m²,"11,3 tỷ",,,Sổ đỏ/ Sổ hồng,Hà Nội,Cầu Giấy,Nhà riêng tại đường Hoàng Ngân,"Đường Hoàng Ngân, Phường Trung Hòa, Cầu Giấy, Hà Nội",03/05/2024,9 m,,3 tầng,,,
60 m²,"9,5 tỷ",12 phòng,12 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Hoàng Mai,Nhà riêng tại đường Minh Khai,"Đường Minh Khai, Phường Hoàng Văn Thụ, Hoàng Mai, Hà Nội",07/05/2024,"5,9 m",2 m,6 tầng,Đầy đủ,,
65 m²,"25,98 tỷ",2 phòng,,Sổ đỏ/ Sổ hồng,Hà Nội,Hai Bà Trưng,Nhà mặt phố tại phường Lê Đại Hành,"Phường Lê Đại Hành, Hai Bà Trưng, Hà Nội",07/05/2024,"4,8 m",28 m,3 tầng,Cơ bản,,
118 m²,"6,15 tỷ",3 phòng,2 phòng,Đang chờ sổ.,Hà Nội,Hoàng Mai,Căn hộ chung cư tại Feliz Homes,"Dự án Feliz Homes, Phường Hoàng Văn Thụ, Hoàng Mai, Hà Nội",07/05/2024,,,,Không nội thất.,Bắc,Nam
35 m²,"4,7 tỷ",,,,Hà Nội,Hai Bà Trưng,Nhà riêng tại phố Bạch Mai,"Phố Bạch Mai, Phường Thanh Nhàn, Hai Bà Trưng, Hà Nội",07/05/2024,,3 m,,,,
50 m²,"12,2 tỷ",14 phòng,14 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Thanh Xuân,Nhà riêng tại phố Chính Kinh,"Phố Chính Kinh, Phường Nhân Chính, Thanh Xuân, Hà Nội",07/05/2024,"4,5 m","2,5 m",8 tầng,Đầy đủ,,
33 m²,"5,65 tỷ",3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Cầu Giấy,Nhà riêng tại đường Phạm Văn Đồng,"Đường Phạm Văn Đồng, Phường Mai Dịch, Cầu Giấy, Hà Nội",06/05/2024,5 m,4 m,5 tầng,Đầy đủ,,
37 m²,"5,99 tỷ",3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Tây Hồ,Nhà riêng tại đường Trích Sài,"Đường Trích Sài, Phường Bưởi, Tây Hồ, Hà Nội",07/05/2024,4 m,5 m,5 tầng,Đầy đủ,,
68 m²,"4,5 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Cầu Giấy,Căn hộ chung cư tại Home City Trung Kính,"Dự án Home City - Trung Kính Complex, Phố Trung Kính, Phường Yên Hòa, Cầu Giấy, Hà Nội",04/05/2024,,,,Đầy đủ,Tây - Nam,Đông - Bắc
74 m²,"3,7 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Bắc Từ Liêm,Căn hộ chung cư tại Nhà ở cho cán bộ chiến sỹ Bộ Công an,"Nhà ở cho CBCS Bộ Công an, 43, Đường Phạm Văn Đồng, Phường Cổ Nhuế 2, Bắc Từ Liêm, Hà Nội",07/05/2024,,,,Đầy đủ,Bắc,Nam
67 m²,9 tỷ,8 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Cầu Giấy,Nhà riêng tại đường Hồ Tùng Mậu,"Đường Hồ Tùng Mậu, Phường Mai Dịch, Cầu Giấy, Hà Nội",07/05/2024,4 m,5 m,5 tầng,,,
33 m²,"5,6 tỷ",4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Cầu Giấy,Nhà riêng tại đường Phạm Văn Đồng,"Ngõ 59, Đường Phạm Văn Đồng, Phường Mai Dịch, Cầu Giấy, Hà Nội",06/05/2024,4 m,4 m,6 tầng,Đầy đủ,,
69 m²,Thỏa thuận,2 phòng,2 phòng,Đã có sổ,Hà Nội,Cầu Giấy,Căn hộ chung cư tại Central Field Trung Kính,"Central Field Trung Kính, 219, Phố Trung Kính, Phường Yên Hòa, Cầu Giấy, Hà Nội",04/05/2024,,,,Đầy đủ.,Tây - Bắc,Đông - Nam
102 m²,Thỏa thuận,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Bắc Từ Liêm,Căn hộ chung cư tại Green Stars,"Dự án Green Stars, Đường Phạm Văn Đồng, Phường Cổ Nhuế 1, Bắc Từ Liêm, Hà Nội",07/05/2024,,,,"Nội thất: Thiết kế hoàn thiện mới tinh gồm: 04 điều hòa, tủ bếp, bếp từ, hút mùi, sofa, bàn ăn tủ trang trí.",,Đông - Nam
50 m²,23 tỷ,6 phòng,6 phòng,"Sổ đỏ đẹp, sẵn sàng giao dịch.",Hà Nội,Nam Từ Liêm,Nhà mặt phố tại đường Thiên Hiền,"Đường Thiên Hiền, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội.",01/05/2024,5 m,12 m,6 tầng,Đầy đủ,,
55 m²,"13,7 tỷ",6 phòng,7 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Hà Đông,Nhà mặt phố tại đường Trần Đăng Ninh,"Đường Trần Đăng Ninh, Phường Phú La, Hà Đông, Hà Nội",07/05/2024,5 m,10 m,6 tầng,Đầy đủ,,
100 m²,"6,4 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Thanh Xuân,Căn hộ chung cư tại Royal City,"Dự án Royal City, Đường Nguyễn Trãi, Phường Thượng Đình, Thanh Xuân, Hà Nội",02/05/2024,,,,Đầy đủ,,
50 m²,15 tỷ,3 phòng,,Sổ đỏ/ Sổ hồng,Hà Nội,Hà Đông,Nhà mặt phố tại đường Tố Hữu,"Đường Tố Hữu, Phường Vạn Phúc, Hà Đông, Hà Nội",02/05/2024,5 m,,6 tầng,,,
36 m²,"4,65 tỷ",4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Hoàng Mai,Nhà riêng tại đường Trương Định,"Đường Trương Định, Phường Tương Mai, Hoàng Mai, Hà Nội",01/05/2024,,,5 tầng,Đầy đủ.,,
54 m²,11 tỷ,12 phòng,12 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Đống Đa,Nhà riêng tại đường Đặng Văn Ngữ,"Đường Đặng Văn Ngữ, Phường Trung Tự, Đống Đa, Hà Nội",04/05/2024,4 m,3 m,7 tầng,Đầy đủ,,
55 m²,"13,7 tỷ",6 phòng,7 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Hà Đông,Nhà mặt phố tại đường Trần Đăng Ninh,"Đường Trần Đăng Ninh, Phường Phú La, Hà Đông, Hà Nội",07/05/2024,5 m,10 m,6 tầng,Đầy đủ,,
100 m²,"6,4 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Thanh Xuân,Căn hộ chung cư tại Royal City,"Dự án Royal City, Đường Nguyễn Trãi, Phường Thượng Đình, Thanh Xuân, Hà Nội",02/05/2024,,,,Đầy đủ,,
50 m²,15 tỷ,3 phòng,,Sổ đỏ/ Sổ hồng,Hà Nội,Hà Đông,Nhà mặt phố tại đường Tố Hữu,"Đường Tố Hữu, Phường Vạn Phúc, Hà Đông, Hà Nội",02/05/2024,5 m,,6 tầng,,,
36 m²,"4,65 tỷ",4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Hoàng Mai,Nhà riêng tại đường Trương Định,"Đường Trương Định, Phường Tương Mai, Hoàng Mai, Hà Nội",01/05/2024,,,5 tầng,Đầy đủ.,,
