Diện tích,Mức giá,Mặt tiền,Đường vào,Hướng nhà,Hướng ban công,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Quận,Thành phố,Loại,Địa chỉ,Ngày đăng
54 m²,"3,15 tỷ",,,,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,Full nội thất đẹp như hình.,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại The Sapphire-Vinhomes Smart City,"Dự án The Sapphire-Vinhomes Smart City, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội",03/05/2024
73 m²,Thỏa thuận,,,Bắc,Nam,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Hà Nội,Bắc Từ Liêm,Căn hộ chung cư tại An Bình City,"Dự án An Bình City, Đường Phạm Văn Đồng, Phường Cổ Nhuế 1, Bắc Từ Liêm, Hà Nội",03/05/2024
60 m²,"14,5 tỷ","4,2 m",7 m,,,6 tầng,5 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Hai Bà Trưng,Nhà riêng tại đường Kim Ngưu,"Đường Kim Ngưu, Phường Đống Mác, Hai Bà Trưng, Hà Nội",03/05/2024
40 m²,"5,7 tỷ",,,,,5 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Long Biên,Nhà riêng tại đường Ngọc Thụy,"Đường Ngọc Thụy, Phường Ngọc Thụy, Long Biên, Hà Nội",03/05/2024
50 m²,"11,9 tỷ","4,5 m",5 m,,,4 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Hai Bà Trưng,Nhà riêng tại phố Lạc Trung,"Phố Lạc Trung, Phường Thanh Lương, Hai Bà Trưng, Hà Nội",03/05/2024
40 m²,"6,8 tỷ",4 m,3 m,,,5 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Hai Bà Trưng,Nhà riêng tại đường Kim Ngưu,"Đường Kim Ngưu, Phường Thanh Lương, Hai Bà Trưng, Hà Nội",03/05/2024
130 m²,25 tỷ,,,,,,,,Sổ đỏ.,,Hà Nội,Hoàng Mai,Nhà mặt phố tại đường Lĩnh Nam,"Đường Lĩnh Nam, Phường Vĩnh Hưng, Hoàng Mai, Hà Nội",03/05/2024
70 m²,"26,3 tỷ",,,,,4 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,Hà Nội,Đống Đa,Nhà mặt phố tại phố Hoàng Cầu,"Phố Hoàng Cầu, Phường Ô Chợ Dừa, Đống Đa, Hà Nội",03/05/2024
43 m²,"2,43 tỷ",,,,Đông - Nam,,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng.,Full đồ như hình.,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại The Sapphire-Vinhomes Smart City,"Dự án The Sapphire-Vinhomes Smart City, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội",03/05/2024
39 m²,Thỏa thuận,,,,,,1 phòng,1 phòng,Hợp đồng mua bán,Đầy đủ,Hà Nội,Tây Hồ,Căn hộ chung cư tại D’. El Dorado,"Dự án D’. El Dorado, đường Nguyễn Hoàng Tôn, Phường Phú Thượng, Tây Hồ, Hà Nội",02/05/2024
39 m²,Thỏa thuận,,,,,,1 phòng,1 phòng,Hợp đồng mua bán,Đầy đủ,Hà Nội,Tây Hồ,Căn hộ chung cư tại D’. El Dorado,"Dự án D’. El Dorado, đường Nguyễn Hoàng Tôn, Phường Phú Thượng, Tây Hồ, Hà Nội",02/05/2024
74 m²,"8,8 tỷ","3,8 m",3 m,,,3 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Không nội thất.,Hà Nội,Long Biên,Nhà riêng tại đường Ngọc Thụy,"Đường Ngọc Thụy, Phường Ngọc Thụy, Long Biên, Hà Nội",03/05/2024
55 m²,"15,5 tỷ",4 m,,,,4 tầng,4 phòng,4 phòng,Sổ đỏ,Tặng toàn bộ nội thất.,Hà Nội,Đống Đa,Nhà mặt phố tại phố Đông Các,"Phố Đông Các, Phường Ô Chợ Dừa, Đống Đa, Hà Nội",03/05/2024
80 m²,Thỏa thuận,,,,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Hà Đông,Căn hộ chung cư tại Usilk City,"Dự án Usilk City, Đường Tố Hữu, Phường La Khê, Hà Đông, Hà Nội",03/05/2024
90 m²,21 tỷ,15 m,,,,4 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,Hà Nội,Đống Đa,Nhà riêng tại phố Chùa Bộc,"Phố Chùa Bộc, Phường Nam Đồng, Đống Đa, Hà Nội",03/05/2024
32 m²,"2,35 tỷ",,,,,4 tầng,3 phòng,,,Đã làm nội thất sang xịn mịn.,Hà Nội,Hà Đông,Nhà riêng tại phường Biên Giang,"Phường Biên Giang, Hà Đông, Hà Nội",03/05/2024
130 m²,26 tỷ,10 m,,,,4 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,,Hà Nội,Đống Đa,Nhà riêng tại phố Tôn Đức Thắng,"Phố Tôn Đức Thắng, Phường Hàng Bột, Đống Đa, Hà Nội",03/05/2024
34 m²,"2,96 tỷ",,,,,3 tầng,3 phòng,3 phòng,,,Hà Nội,Hà Đông,Nhà riêng tại đường Nghĩa Lộ,"Đường Nghĩa Lộ, Phường Yên Nghĩa, Hà Đông, Hà Nội",03/05/2024
46 m²,"28,5 tỷ",4 m,,,,,,,Sổ đỏ/ Sổ hồng,,Hà Nội,Đống Đa,Nhà mặt phố tại phố Chùa Bộc,"Phố Chùa Bộc, Phường Kim Liên, Đống Đa, Hà Nội",03/05/2024
"109,8 m²","11,15 tỷ",,,,,,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Tây Hồ,Căn hộ chung cư tại KĐT Tây Hồ Tây - Starlake Hà Nội,"Dự án KĐT Tây Hồ Tây - Starlake Hà Nội, Phường Xuân La, Tây Hồ, Hà Nội",02/05/2024
69 m²,"13,8 tỷ","5,5 m",,,,5 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Hà Nội,Tây Hồ,Nhà riêng tại đường Võng Thị,"đường Võng Thị, Phường Bưởi, Tây Hồ, Hà Nội",03/05/2024
48 m²,"9,8 tỷ",,,,,5 tầng,,4 phòng,Sổ đỏ,Đầy đủ,Hà Nội,Ba Đình,Nhà riêng tại phố Vạn Phúc,"Ngõ 3, Phố Vạn Phúc, Phường Liễu Giai, Ba Đình, Hà Nội",03/05/2024
46 m²,"8,2 tỷ",,3 m,,,5 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Ba Đình,Nhà riêng tại đường Đào Tấn,"Đường Đào Tấn, Phường Cống Vị, Ba Đình, Hà Nội",03/05/2024
58 m²,"9,5 tỷ",,4 m,,,5 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Ba Đình,Nhà riêng tại đường Ngọc Hà,"Đường Ngọc Hà, Phường Ngọc Hà, Ba Đình, Hà Nội",03/05/2024
46 m²,"4,8 tỷ","4,5 m",,,,4 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Hai Bà Trưng,Nhà riêng tại phường Bạch Mai,"Phường Bạch Mai, Hai Bà Trưng, Hà Nội",03/05/2024
70 m²,"16,5 tỷ",,,,,5 tầng,,,Sổ đỏ/ Sổ hồng,,Hà Nội,Thanh Xuân,Nhà mặt phố tại đường Lê Trọng Tấn,"Đường Lê Trọng Tấn, Phường Khương Mai, Thanh Xuân, Hà Nội",30/04/2024
58 m²,"3,8 tỷ",,,,,,1 phòng,1 phòng,,,Hà Nội,Tây Hồ,Căn hộ chung cư tại Heritage West Lake,"Dự án Heritage West Lake, Đường Lạc Long Quân, Phường Phú Thượng, Tây Hồ, Hà Nội",03/05/2024
60 m²,9 tỷ,,,,,3 tầng,,,,,Hà Nội,Thanh Trì,Nhà riêng tại đường Triều Khúc,"Đường Triều Khúc, Xã Tân Triều, Thanh Trì, Hà Nội",30/04/2024
80 m²,"15,95 tỷ",,,,,4 tầng,,,Sổ đỏ/ Sổ hồng,,Hà Nội,Hà Đông,Nhà mặt phố tại đường Lương Ngọc Quyến,"Đường Lương Ngọc Quyến, Phường Văn Quán, Hà Đông, Hà Nội",02/05/2024
100 m²,33 tỷ,9 m,,,,4 tầng,,,Sổ đỏ/ Sổ hồng,,Hà Nội,Thanh Xuân,Nhà mặt phố tại đường Lê Trọng Tấn,"Đường Lê Trọng Tấn, Phường Khương Mai, Thanh Xuân, Hà Nội",28/04/2024
32 m²,"3,35 tỷ",,,,,5 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Hà Nội,Hà Đông,Nhà riêng tại đường Ỷ La,"Đường Ỷ La, Phường Dương Nội, Hà Đông, Hà Nội",02/05/2024
30 m²,"7,5 tỷ",3 m,,,,4 tầng,,,Sổ đỏ/ Sổ hồng,,Hà Nội,Đống Đa,Nhà mặt phố tại phố Kim Hoa,"Phố Kim Hoa, Phường Kim Liên, Đống Đa, Hà Nội",27/04/2024
76 m²,"2,75 tỷ",,,,Đông - Nam,,2 phòng,2 phòng,Sổ hồng,,Hà Nội,Hà Đông,Căn hộ chung cư tại Khu đô thị mới Xa La,"Dự án KĐT Xa La, Phố Phùng Hưng, Phường Kiến Hưng, Hà Đông, Hà Nội",03/05/2024
38 m²,"3,55 tỷ","4,5 m","2,9 m",,,4 tầng,4 phòng,3 phòng,Sổ đỏ,Cơ bản,Hà Nội,Hoài Đức,Nhà riêng tại đường 422,"Đường 422, Thị trấn Trạm Trôi, Hoài Đức, Hà Nội.",03/05/2024
43 m²,"2,38 tỷ",,,,Đông - Nam,,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng.,Full đồ như hình.,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại The Sapphire-Vinhomes Smart City,"Dự án The Sapphire-Vinhomes Smart City, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội",03/05/2024
67 m²,"2,06 tỷ",,,,,,2 phòng,2 phòng,Hợp đồng mua bán,Đầy đủ,Hà Nội,Hoàng Mai,Căn hộ chung cư tại HH4 Linh Đàm,"Dự án HH4 Linh Đàm, Đường Linh Đường, Phường Hoàng Liệt, Hoàng Mai, Hà Nội",03/05/2024
96 m²,"9,3 tỷ",6 m,,,,4 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Hà Nội,Đông Anh,Nhà riêng tại đường Cao Lỗ,"Đường Cao Lỗ, Thị trấn Đông Anh, Đông Anh, Hà Nội",03/05/2024
488 m²,55 tỷ,13 m,20 m,,,1 tầng,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng.,Không nội thất,Hà Nội,Long Biên,Nhà mặt phố tại đường Cầu Bây,"Đường Cầu Bây, Phường Sài Đồng, Long Biên, Hà Nội",03/05/2024
116 m²,"6,7 tỷ",,,,,,3 phòng,2 phòng,,,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại The Sapphire-Vinhomes Smart City,"Dự án The Sapphire-Vinhomes Smart City, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội",03/05/2024
42 m²,10 tỷ,"3,72 m",5 m,Đông - Nam,Đông - Nam,7 tầng,11 phòng,11 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,Hà Nội,Hoàng Mai,Nhà riêng tại đường Linh Đường,"Đường Linh Đường, Phường Hoàng Liệt, Hoàng Mai, Hà Nội",03/05/2024
"117,36 m²","4,99 tỷ",,,Nam,Bắc,,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Hà Đông,Căn hộ chung cư tại La Casta Văn Phú,"Dự án La Casta Văn Phú, Đường Lê Trọng Tấn, Phường Phú La, Hà Đông, Hà Nội",03/05/2024
64 m²,"4,24 tỷ",,,,Đông - Nam,,2 phòng,2 phòng,"- Đã có sổ, sang tên ngay.","- Full nội thất đẹp lung linh như hình, nhận nhà ngay.",Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại The Sakura - Vinhomes Smart City,"Dự án The Sakura - Vinhomes Smart City, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội",03/05/2024
90 m²,"4,48 tỷ",,,,,,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Hà Nội,Thanh Xuân,Căn hộ chung cư tại đường Khuất Duy Tiến,"Đường Khuất Duy Tiến, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội",02/05/2024
66 m²,"3,5 tỷ",,,Đông - Nam,Tây - Bắc,,2 phòng,2 phòng,Hợp đồng mua bán,Cơ bản,Hà Nội,Hoài Đức,Căn hộ chung cư tại Moonlight 1 - An Lạc Green Symphony,"Dự án Moonlight 1 - An Lạc Green Symphony, Xã An Khánh, Hoài Đức, Hà Nội",03/05/2024
39 m²,"3,95 tỷ","3,5 m","3,3 m",,,4 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Cơ bản.,Hà Nội,Hoài Đức,Nhà riêng tại đường Yên Lũng,"Đường Yên Lũng, Xã An Khánh, Hoài Đức, Hà Nội",03/05/2024
64 m²,"4,05 tỷ",,,,Đông - Nam,,2 phòng,2 phòng,"- Đã có sổ, sang tên ngay.","- Full nội thất đẹp lung linh như hình, nhận nhà ngay.",Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại The Sakura - Vinhomes Smart City,"Dự án The Sakura - Vinhomes Smart City, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội",03/05/2024
131 m²,"14,89 tỷ","11,3 m",3 m,,,3 tầng,6 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Thanh Xuân,Nhà riêng tại đường Giáp Nhất,"Đường Giáp Nhất, Phường Nhân Chính, Thanh Xuân, Hà Nội",03/05/2024
37 m²,"8,5 tỷ",,"4,5 m",,,6 tầng,3 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,Hà Nội,Hoàng Mai,Nhà mặt phố tại đường Hoàng Mai,"Đường Hoàng Mai, Phường Hoàng Văn Thụ, Hoàng Mai, Hà Nội",30/04/2024
100 m²,"4,8 tỷ",,,,Đông - Nam,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Hà Nội,Hoài Đức,Căn hộ chung cư tại Chung cư The Wisteria,"Dự án The Wisteria, Đường 32, Xã Di Trạch, Hoài Đức, Hà Nội",03/05/2024
135 m²,"6,9 tỷ",,,Tây - Bắc,Đông - Nam,,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Thanh Xuân,Căn hộ chung cư tại Bohemia Residence,"Dự án Bohemia Residence, số 2 Phố Lê Văn Thiêm, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội",03/05/2024
44 m²,"8,2 tỷ","5,4 m",5 m,,,5 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Hai Bà Trưng,Nhà riêng tại đường Nguyễn An Ninh,"Đường Nguyễn An Ninh, Phường Trương Định, Hai Bà Trưng, Hà Nội",28/04/2024
95 m²,19 tỷ,"4,7 m",12 m,,,4 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Không nội thất.,Hà Nội,Long Biên,Nhà riêng tại đường Nguyễn Sơn,"Đường Nguyễn Sơn, Phường Ngọc Lâm, Long Biên, Hà Nội",03/05/2024
"124,5 m²","6,5 tỷ",,,Tây - Bắc,Đông - Nam,,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Thanh Xuân,Căn hộ chung cư tại Chung cư Ban cơ yếu Chính phủ,"Dự án Chung cư Ban cơ yếu Chính phủ, Đường Lê Văn Lương, Phường Nhân Chính, Thanh Xuân, Hà Nội",03/05/2024
35 m²,"4,95 tỷ",,,,,4 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,Hà Nội,Hoàng Mai,Nhà riêng tại đường Tân Mai,"Đường Tân Mai, Phường Tân Mai, Hoàng Mai, Hà Nội",02/05/2024
186 m²,"8,5 tỷ",,,Tây - Bắc,Đông - Nam,,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,Hà Nội,Thanh Xuân,Căn hộ chung cư tại The Legend Tower 109 Nguyễn Tuân,"Dự án Legend Tower 109 Nguyễn Tuân, Đường Nguyễn Tuân, Phường Nhân Chính, Thanh Xuân, Hà Nội",03/05/2024
45 m²,"10,6 tỷ",5 m,5 m,,,5 tầng,6 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Hai Bà Trưng,Nhà riêng tại đường Kim Ngưu,"Đường Kim Ngưu, Phường Thanh Lương, Hai Bà Trưng, Hà Nội",29/04/2024
54 m²,"3,04 tỷ",,,,Đông - Bắc,,2 phòng,1 phòng,"- Đã có sổ, sang tên ngay.","- Full nội thất đẹp lung linh như hình, nhận nhà ngay.",Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại The Sapphire-Vinhomes Smart City,"Dự án The Sapphire-Vinhomes Smart City, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội",03/05/2024
45 m²,"8,9 tỷ",,5 m,,,4 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Hai Bà Trưng,Nhà riêng tại phố 8/3,"Phố 8/3, Phường Thanh Nhàn, Hai Bà Trưng, Hà Nội",30/04/2024
52 m²,"11,9 tỷ","4,6 m",5 m,,,4 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Hai Bà Trưng,Nhà riêng tại đường Kim Ngưu,"Ngõ 325, Đường Kim Ngưu, Phường Thanh Lương, Hai Bà Trưng, Hà Nội",01/05/2024
150 m²,"9,3 tỷ",,,,,,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Thanh Xuân,Căn hộ chung cư tại Golden Land,"Golden Land, số 275, Đường Nguyễn Trãi, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội",03/05/2024
35 m²,"4,1 tỷ","4,4 m",,,,5 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Hà Nội,Long Biên,Nhà riêng tại đường Thạch Bàn,"Đường Thạch Bàn, Phường Thạch Bàn, Long Biên, Hà Nội",03/05/2024
"118,5 m²","3,7 tỷ",,,,,,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,Hà Nội,Hà Đông,Căn hộ chung cư tại Khu đô thị Văn Khê,"Dự án Văn Khê, Phường La Khê, Hà Đông, Hà Nội",03/05/2024
68 m²,"3,37 tỷ",,,Tây,Đông - Nam,,2 phòng,2 phòng,,Đầy đủ.,Hà Nội,Hoàng Mai,Căn hộ chung cư tại B1-B2 Tây Nam Linh Đàm,"Dự án B1-B2 Tây Nam Linh Đàm, Phường Hoàng Liệt, Hoàng Mai, Hà Nội",03/05/2024
"118,5 m²","3,7 tỷ",,,,,,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,Hà Nội,Hà Đông,Căn hộ chung cư tại Khu đô thị Văn Khê,"Dự án Văn Khê, Phường La Khê, Hà Đông, Hà Nội",03/05/2024
68 m²,"3,37 tỷ",,,Tây,Đông - Nam,,2 phòng,2 phòng,,Đầy đủ.,Hà Nội,Hoàng Mai,Căn hộ chung cư tại B1-B2 Tây Nam Linh Đàm,"Dự án B1-B2 Tây Nam Linh Đàm, Phường Hoàng Liệt, Hoàng Mai, Hà Nội",03/05/2024
38 m²,"2,07 tỷ",,,,Đông - Nam,,1 phòng,1 phòng,"- Đã có sổ, sang tên ngay.","- Full nội thất đẹp lung linh như hình, nhận nhà ngay.",Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại The Sapphire-Vinhomes Smart City,"Dự án The Sapphire-Vinhomes Smart City, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội",03/05/2024
42 m²,"4,45 tỷ",4 m,,,,4 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Long Biên,Nhà riêng tại đường Thạch Bàn,"Đường Thạch Bàn, Phường Thạch Bàn, Long Biên, Hà Nội",03/05/2024
38 m²,"2,15 tỷ",,,,Đông - Nam,,1 phòng,1 phòng,"- Đã có sổ, sang tên ngay.","- Full nội thất đẹp lung linh như hình, nhận nhà ngay.",Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại The Sapphire-Vinhomes Smart City,"Dự án The Sapphire-Vinhomes Smart City, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội",03/05/2024
121 m²,"4,68 tỷ",,,Đông - Bắc,Tây - Nam,,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,Hà Nội,Hoàng Mai,Căn hộ chung cư tại Momota -151A Nguyễn Đức Cảnh,"Momota Nguyễn Đức Cảnh, 151, Đường Nguyễn Đức Cảnh, Phường Tương Mai, Hoàng Mai, Hà Nội",03/05/2024
87 m²,19 tỷ,"3,8 m",30 m,,,7 tầng,8 phòng,6 phòng,,Đầy đủ.,Hà Nội,Long Biên,Nhà riêng tại đường Chu Huy Mân,"Đường Chu Huy Mân, Phường Phúc Đồng, Long Biên, Hà Nội",03/05/2024
68 m²,12 tỷ,6 m,10 m,,,6 tầng,6 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Châu Âu,Hà Nội,Cầu Giấy,Nhà riêng tại phố Phạm Tuấn Tài,"Phố Phạm Tuấn Tài, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",03/05/2024
66 m²,"11,6 tỷ",6 m,10 m,,,7 tầng,7 phòng,7 phòng,Sổ đỏ.,Châu Âu.,Hà Nội,Cầu Giấy,Nhà riêng tại phố Hoàng Sâm,"88B, Phố Hoàng Sâm, Phường Nghĩa Đô, Cầu Giấy, Hà Nội",03/05/2024
75 m²,Thỏa thuận,6 m,8 m,,,7 tầng,7 phòng,7 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Cầu Giấy,Nhà riêng tại phố Phạm Tuấn Tài,"Phố Phạm Tuấn Tài, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",03/05/2024
40 m²,"6,2 tỷ",,3 m,,,5 tầng,7 phòng,4 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ.,Hà Nội,Hoàng Mai,Nhà riêng tại đường Hoàng Mai,"Ngõ 169, Đường Hoàng Mai, Phường Hoàng Văn Thụ, Hoàng Mai, Hà Nội",02/05/2024
50 m²,"2,15 tỷ",4 m,,,,1 tầng,3 phòng,1 phòng,Sổ đỏ/ Sổ hồng,,Hà Nội,Thanh Xuân,Nhà riêng tại đường Khuất Duy Tiến,"Đường Khuất Duy Tiến, Phường Thanh Xuân Bắc, Thanh Xuân, Hà Nội",03/05/2024
62 m²,10 tỷ,,,,,6 tầng,11 phòng,11 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Cầu Giấy,Nhà riêng tại phường Yên Hòa,"Phường Yên Hòa, Cầu Giấy, Hà Nội",03/05/2024
44 m²,"8,5 tỷ",,,,,4 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Cơ bản.,Hà Nội,Thanh Xuân,Nhà riêng tại phố Hạ Đình,"Phố Hạ Đình, Phường Hạ Đình, Thanh Xuân, Hà Nội",24/04/2024
269 m²,Thỏa thuận,,,Tây - Nam,Đông - Bắc,,5 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại Mỹ Đình Pearl,"Dự án Mỹ Đình Pearl, Đường Châu Văn Liêm, Phường Phú Đô, Nam Từ Liêm, Hà Nội",28/04/2024
"39,2 m²","4,1 tỷ","3,3 m",3 m,Bắc,Bắc,4 tầng,5 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Hà Nội,Bắc Từ Liêm,Nhà riêng tại đường Tây Tựu,"Đường Tây Tựu, Phường Tây Tựu, Bắc Từ Liêm, Hà Nội",03/05/2024
62 m²,"3,61 tỷ",,,,Đông - Nam,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,Nội thất bàn giao và thiết kế như hình.,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại The Sakura - Vinhomes Smart City,"Dự án The Sakura - Vinhomes Smart City, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội",03/05/2024
46 m²,"16,2 tỷ",,,,,5 tầng,4 phòng,4 phòng,Sổ đỏ,,Hà Nội,Thanh Xuân,Nhà riêng tại đường Nguyễn Xiển,"Đường Nguyễn Xiển, Phường Hạ Đình, Thanh Xuân, Hà Nội",03/05/2024
38 m²,33 tỷ,4 m,,,,4 tầng,5 phòng,4 phòng,,,Hà Nội,Hoàn Kiếm,Nhà mặt phố tại phố Mã Mây,"Phố Mã Mây, Phường Hàng Buồm, Hoàn Kiếm, Hà Nội",03/05/2024
86 m²,"2,85 tỷ",,,,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Hà Đông,Căn hộ chung cư tại Khu đô thị mới Dương Nội,"Dự án KĐTM Dương Nội, Đường Lê Hữu Trác, Phường Dương Nội, Hà Đông, Hà Nội",03/05/2024
190 m²,170 tỷ,7 m,,,,10 tầng,,,Sổ đỏ/ Sổ hồng,,Hà Nội,Hoàn Kiếm,Nhà mặt phố tại phố Bà Triệu,"Phố Bà Triệu, Phường Hàng Bài, Hoàn Kiếm, Hà Nội",28/04/2024
41 m²,"7,9 tỷ",,,,,6 tầng,8 phòng,,Sổ đỏ/ Sổ hồng,,Hà Nội,Nam Từ Liêm,Nhà riêng tại đường Mỹ Đình,"đường Mỹ Đình, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",03/05/2024
76 m²,Thỏa thuận,,,,,3 tầng,4 phòng,3 phòng,Sổ đỏ,Đầy đủ,Hà Nội,Ba Đình,Nhà riêng tại đường Hoàng Hoa Thám,"Ngõ 173, Đường Hoàng Hoa Thám, Phường Ngọc Hà, Ba Đình, Hà Nội",03/05/2024
50 m²,"18,7 tỷ",,,,,5 tầng,,,Sổ đỏ/ Sổ hồng,,Hà Nội,Cầu Giấy,Nhà riêng tại đường Mạc Thái Tổ,"Đường Mạc Thái Tổ, Phường Yên Hòa, Cầu Giấy, Hà Nội",03/05/2024
33 m²,"4,35 tỷ",,,,,5 tầng,3 phòng,4 phòng,Sổ đỏ,,Hà Nội,Đống Đa,Nhà riêng tại phố Thái Thịnh,"Phố Thái Thịnh, Phường Thịnh Quang, Đống Đa, Hà Nội",03/05/2024
25 m²,"4,7 tỷ",4 m,2 m,,,3 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Đống Đa,Nhà riêng tại đường Trường Chinh,"Ngõ 554, Đường Trường Chinh, Phường Khương Thượng, Đống Đa, Hà Nội",30/04/2024
46 m²,"3,75 tỷ",,,,,4 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Hà Nội,Đông Anh,Nhà riêng tại đường Tiên Kha,"Đường Tiên Kha, Xã Tiên Dương, Đông Anh, Hà Nội",03/05/2024
103 m²,Thỏa thuận,"5,5 m",56 m,,,5 tầng,7 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Hà Đông,Nhà mặt phố tại đường Quang Trung,"Đường Quang Trung, Phường Phú La, Hà Đông, Hà Nội",03/05/2024
