Diện tích,Mức giá,Mặt tiền,Đường vào,Số tầng,Số phòng ngủ,Pháp lý,Nội thất,Quận,Thành phố,Loại,Địa chỉ,Ngày đăng,Số toilet,Hướng nhà,Hướng ban công
35 m²,"11,8 tỷ",,,5 tầng,3 phòng,Sổ đỏ/ Sổ hồng,,Hà Nội,Hai Bà Trưng,Nhà mặt phố tại phố Chùa Quỳnh,"Phố Chùa Quỳnh, Phường Thanh Nhàn, Hai Bà Trưng, Hà Nội",02/05/2024,4 phòng,,
66 m²,"3,1 tỷ",,,,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Gia Lâm,Căn hộ chung cư tại Masteri Waterfront,"Dự án Masteri Water Front, Đường Quốc Lộ 5B, Xã Đa Tốn, Gia Lâm, Hà Nội",26/04/2024,2 phòng,,
44 m²,"8,3 tỷ","4,6 m",3 m,6 tầng,9 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Nam Từ Liêm,Nhà riêng tại đường Mễ Trì,"đường Mễ Trì, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội",06/05/2024,9 phòng,,
102 m²,"3,7 tỷ",,,,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Hoài Đức,Căn hộ chung cư tại Gemek Tower,"Dự án Gemek Tower, Đường Lê Trọng Tấn, Xã An Khánh, Hoài Đức, Hà Nội",06/05/2024,2 phòng,Đông - Nam,Tây - Bắc
60 m²,2 tỷ,,,,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Hà Nội,Gia Lâm,Căn hộ chung cư tại Vinhomes Ocean Park Gia Lâm,"Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội",03/05/2024,1 phòng,,
130 m²,"15,5 tỷ",10 m,3 m,6 tầng,26 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Bắc Từ Liêm,Nhà riêng tại đường Xuân Đỉnh,"Đường Xuân Đỉnh, Phường Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",02/05/2024,26 phòng,,
80 m²,"21,68 tỷ",5 m,15 m,6 tầng,20 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Nam Từ Liêm,Nhà mặt phố tại đường Nguyễn Hoàng,"Đường Nguyễn Hoàng, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội.",03/05/2024,20 phòng,,
48 m²,"7,9 tỷ",4 m,3 m,7 tầng,12 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Hà Đông,Nhà riêng tại đường Nguyễn Khuyến,"Đường Nguyễn Khuyến, Phường Văn Quán, Hà Đông, Hà Nội",05/05/2024,12 phòng,,
42 m²,7 tỷ,,,5 tầng,,Sổ đỏ/ Sổ hồng,,Hà Nội,Đống Đa,Nhà riêng tại đường Phạm Ngọc Thạch,"Đường Phạm Ngọc Thạch, Phường Trung Tự, Đống Đa, Hà Nội",29/04/2024,,,
42 m²,"7,1 tỷ","4,5 m",,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Thanh Xuân,Nhà riêng tại đường Vũ Trọng Phụng,"Đường Vũ Trọng Phụng, Phường Nhân Chính, Thanh Xuân, Hà Nội",04/05/2024,4 phòng,,
80 m²,38 tỷ,4 m,50 m,8 tầng,18 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Cầu Giấy,Nhà mặt phố tại đường Trần Duy Hưng,"Đường Trần Duy Hưng, Phường Trung Hòa, Cầu Giấy, Hà Nội",18/04/2024,18 phòng,Nam,Nam
131 m²,10 tỷ,,,,3 phòng,Sổ đỏ/ Sổ hồng,,Hà Nội,Thanh Xuân,Căn hộ chung cư tại Royal City,"Dự án Royal City, Đường Nguyễn Trãi, Phường Thượng Đình, Thanh Xuân, Hà Nội",03/05/2024,2 phòng,,
64 m²,"3,5 tỷ",,,,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại Imperia Smart City,"Dự án Imperia Smart City, Đường Đại lộ Thăng Long, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội.",02/05/2024,2 phòng,,
93 m²,"5,4 tỷ",,,,3 phòng,,"Nhà được hoàn thiện đầy đủ nội thất, sàn trần, thiết bị bếp, vệ sinh, liền tường, ti vi, tủ lạnh, máy giặt, điều hòa, full nội thất xịn xò.",Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại Vinhomes Green Bay Mễ Trì,"Dự án Vinhomes Green Bay Mễ Trì, Đường Đại lộ Thăng Long, Phường Mễ Trì, Nam Từ Liêm, Hà Nội.",27/04/2024,2 phòng,Tây - Bắc,Đông - Nam
36 m²,"4,68 tỷ","5,8 m",,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,,Hà Nội,Thanh Xuân,Nhà riêng tại phố Cự Lộc,"Phố Cự Lộc, Phường Nhân Chính, Thanh Xuân, Hà Nội",06/05/2024,,,
57 m²,12 tỷ,"8,5 m",,5 tầng,10 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Hai Bà Trưng,Nhà riêng tại phố Trần Đại Nghĩa,"Phố Trần Đại Nghĩa, Phường Trương Định, Hai Bà Trưng, Hà Nội",05/05/2024,5 phòng,,
87 m²,"3,25 tỷ",,,,2 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ,Hà Nội,Bắc Từ Liêm,Căn hộ chung cư tại Chung cư C1 C2 Xuân Đỉnh,"Dự án C1 C2 Xuân Đỉnh, Đường Xuân Đỉnh, Phường Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",06/05/2024,2 phòng,Tây,Đông - Bắc
50 m²,14 tỷ,,,5 tầng,,,,Hà Nội,Đống Đa,Nhà riêng tại đường Nguyễn Chí Thanh,"Đường Nguyễn Chí Thanh, Phường Láng Thượng, Đống Đa, Hà Nội",23/04/2024,,,
168 m²,90 triệu/m²,,,,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Cầu Giấy,Căn hộ chung cư tại Mandarin Garden,"Dự án Mandarin Garden, Đường Hoàng Minh Giám, Phường Trung Hòa, Cầu Giấy, Hà Nội",26/04/2024,2 phòng,Đông - Bắc,Tây - Nam
80 m²,20 tỷ,"5,8 m","4,5 m",4 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Cầu Giấy,Nhà riêng tại phố Trần Quốc Hoàn,"Phố Trần Quốc Hoàn, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",06/05/2024,3 phòng,,
87 m²,"3,25 tỷ",,,,2 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ,Hà Nội,Bắc Từ Liêm,Căn hộ chung cư tại Chung cư C1 C2 Xuân Đỉnh,"Dự án C1 C2 Xuân Đỉnh, Đường Xuân Đỉnh, Phường Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",06/05/2024,2 phòng,Tây,Đông - Bắc
50 m²,14 tỷ,,,5 tầng,,,,Hà Nội,Đống Đa,Nhà riêng tại đường Nguyễn Chí Thanh,"Đường Nguyễn Chí Thanh, Phường Láng Thượng, Đống Đa, Hà Nội",23/04/2024,,,
168 m²,90 triệu/m²,,,,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Cầu Giấy,Căn hộ chung cư tại Mandarin Garden,"Dự án Mandarin Garden, Đường Hoàng Minh Giám, Phường Trung Hòa, Cầu Giấy, Hà Nội",26/04/2024,2 phòng,Đông - Bắc,Tây - Nam
80 m²,20 tỷ,"5,8 m","4,5 m",4 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Cầu Giấy,Nhà riêng tại phố Trần Quốc Hoàn,"Phố Trần Quốc Hoàn, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",06/05/2024,3 phòng,,
40 m²,"7,9 tỷ",,,4 tầng,,,,Hà Nội,Đống Đa,Nhà riêng tại phố Hoàng Ngọc Phách,"Phố Hoàng Ngọc Phách, Phường Láng Hạ, Đống Đa, Hà Nội",06/05/2024,,,
50 m²,2 tỷ,,,,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,Hà Nội,Hoàng Mai,Căn hộ chung cư tại Khu đô thị Kim Văn - Kim Lũ (Golden Silk),"Dự án Kim Văn Kim Lũ, Đường Nghiêm Xuân Yêm, Phường Đại Kim, Hoàng Mai, Hà Nội",02/05/2024,1 phòng,Tây - Bắc,Đông - Nam
60 m²,"3,9 tỷ",,,,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ Full đồ xịn.,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại The Tonkin - Vinhomes Smart City,"Dự án The Tonkin - Vinhomes Smart City, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội.",23/04/2024,2 phòng,,
30 m²,"1,99 tỷ","3,5 m",3 m,4 tầng,4 phòng,Sổ đỏ/ Sổ hồng.,,Hà Nội,Chương Mỹ,Nhà riêng tại xã Phụng Châu,"Phượng Nghĩa, Xã Phụng Châu, Chương Mỹ, Hà Nội",02/05/2024,3 phòng,Tây - Nam,Tây - Nam
81 m²,"22,9 tỷ","5,4 m",,5 tầng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Đống Đa,Nhà riêng tại đường Trần Quang Diệu,"Đường Trần Quang Diệu, Phường Ô Chợ Dừa, Đống Đa, Hà Nội",06/05/2024,6 phòng,,
"29,9 m²","1,15 tỷ",,,,1 phòng,,,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại Vinhomes Green Bay Mễ Trì,"Dự án Vinhomes Green Bay Mễ Trì, Đường Đại lộ Thăng Long, Phường Mễ Trì, Nam Từ Liêm, Hà Nội",04/05/2024,1 phòng,Tây - Bắc,Đông - Nam
"75,8 m²","3,15 tỷ",,,,3 phòng,Sổ đỏ/ Sổ hồng,,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại The Sapphire-Vinhomes Smart City,"Dự án The Sapphire-Vinhomes Smart City, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội",04/05/2024,2 phòng,Đông,Đông - Nam
46 m²,"1,7 tỷ",,,,1 phòng,,Đầy đủ,Hà Nội,Gia Lâm,Căn hộ chung cư tại Vinhomes Ocean Park Gia Lâm,"Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội",08/04/2024,1 phòng,Đông - Nam,Đông - Nam
59 m²,"2,2 tỷ",,,,2 phòng,,Đầy đủ,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại Vinhomes Green Bay Mễ Trì,"Dự án Vinhomes Green Bay Mễ Trì, Đường Đại lộ Thăng Long, Phường Mễ Trì, Nam Từ Liêm, Hà Nội",06/05/2024,1 phòng,,Đông - Nam
75 m²,"9,7 tỷ",,,5 tầng,,,,Hà Nội,Thanh Xuân,Nhà riêng tại đường Nguyễn Trãi,"Đường Nguyễn Trãi, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội",07/05/2024,,,
115 m²,"5,2 tỷ",,,,3 phòng,,,Hà Nội,Hà Đông,Căn hộ chung cư tại New Skyline,"Dự án New Skyline, Phường Văn Quán, Hà Đông, Hà Nội",05/05/2024,2 phòng,,Đông - Nam
35 m²,"6,5 tỷ",,,6 tầng,3 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Hà Nội,Đống Đa,Nhà riêng tại phố Thái Hà,"Ngõ 117, Phố Thái Hà, Phường Trung Liệt, Đống Đa, Hà Nội",04/05/2024,5 phòng,,
41 m²,"9,3 tỷ",,,8 tầng,8 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,Hà Nội,Nam Từ Liêm,Nhà riêng tại đường Mỹ Đình,"đường Mỹ Đình, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",02/05/2024,8 phòng,,
161 m²,"11,8 tỷ",,,,4 phòng,Sổ đỏ/ Sổ hồng,Không nội thất,Hà Nội,Thanh Xuân,Căn hộ chung cư tại BRG Diamond Residence,"BRG Diamond Residence, 25, Đường Lê Văn Lương, Phường Nhân Chính, Thanh Xuân, Hà Nội",12/04/2024,3 phòng,Đông - Bắc,Tây - Nam
139 m²,6 tỷ,,,,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,Hà Nội,Bắc Từ Liêm,Căn hộ chung cư tại Goldmark City,"Dự án Goldmark City, Đường Hồ Tùng Mậu, Phường Phú Diễn, Bắc Từ Liêm, Hà Nội",25/04/2024,2 phòng,Đông - Bắc,Tây - Nam
122 m²,55 triệu/m²,,,,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Bắc Từ Liêm,Căn hộ chung cư tại Khu Ngoại Giao Đoàn,"Dự án Khu Ngoại Giao Đoàn, Đường Xuân Đỉnh, Phường Xuân Tảo, Bắc Từ Liêm, Hà Nội",02/05/2024,2 phòng,,Nam
35 m²,"6,5 tỷ",,,6 tầng,3 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Hà Nội,Đống Đa,Nhà riêng tại phố Thái Hà,"Ngõ 117, Phố Thái Hà, Phường Trung Liệt, Đống Đa, Hà Nội",04/05/2024,5 phòng,,
41 m²,"9,3 tỷ",,,8 tầng,8 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,Hà Nội,Nam Từ Liêm,Nhà riêng tại đường Mỹ Đình,"đường Mỹ Đình, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",02/05/2024,8 phòng,,
161 m²,"11,8 tỷ",,,,4 phòng,Sổ đỏ/ Sổ hồng,Không nội thất,Hà Nội,Thanh Xuân,Căn hộ chung cư tại BRG Diamond Residence,"BRG Diamond Residence, 25, Đường Lê Văn Lương, Phường Nhân Chính, Thanh Xuân, Hà Nội",12/04/2024,3 phòng,Đông - Bắc,Tây - Nam
139 m²,6 tỷ,,,,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,Hà Nội,Bắc Từ Liêm,Căn hộ chung cư tại Goldmark City,"Dự án Goldmark City, Đường Hồ Tùng Mậu, Phường Phú Diễn, Bắc Từ Liêm, Hà Nội",25/04/2024,2 phòng,Đông - Bắc,Tây - Nam
122 m²,55 triệu/m²,,,,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Bắc Từ Liêm,Căn hộ chung cư tại Khu Ngoại Giao Đoàn,"Dự án Khu Ngoại Giao Đoàn, Đường Xuân Đỉnh, Phường Xuân Tảo, Bắc Từ Liêm, Hà Nội",02/05/2024,2 phòng,,Nam
45 m²,"4,45 tỷ",,,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Long Biên,Nhà riêng tại đường Đức Giang,"Đường Đức Giang, Phường Thượng Thanh, Long Biên, Hà Nội",06/05/2024,4 phòng,,
33 m²,"2,8 tỷ",,3 m,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Hà Nội,Hà Đông,Nhà riêng tại đường 21B,"Đường 21B, Phường Phú Lương, Hà Đông, Hà Nội",02/05/2024,3 phòng,,
48 m²,10 tỷ,4 m,8 m,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Hà Đông,Nhà riêng tại đường Chiến Thắng,"Đường Chiến Thắng, Phường Văn Quán, Hà Đông, Hà Nội",06/05/2024,4 phòng,Đông - Nam,Đông - Nam
33 m²,"2,55 tỷ",,,5 tầng,3 phòng,Sổ đỏ/ Sổ hồng,,Hà Nội,Hà Đông,Nhà riêng tại đường Ỷ La,"Ngõ 164, Đường Ỷ La, Phường Dương Nội, Hà Đông, Hà Nội",25/04/2024,3 phòng,,
"54,7 m²","2,5 tỷ",,,,2 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ.,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại Imperia Smart City,"Dự án Imperia Smart City, Đường Đại lộ Thăng Long, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội",02/05/2024,1 phòng,,
33 m²,"2,79 tỷ",,,5 tầng,3 phòng,Sổ đỏ/ Sổ hồng,,Hà Nội,Hà Đông,Nhà riêng tại đường Lê Trọng Tấn,"Đường Lê Trọng Tấn, Phường Dương Nội, Hà Đông, Hà Nội",02/05/2024,3 phòng,,
205 m²,105 tỷ,15 m,,3 tầng,,Sổ đỏ,,Hà Nội,Hà Đông,Nhà mặt phố tại đường Nguyễn Văn Lộc,"Đường Nguyễn Văn Lộc, Phường Mỗ Lao, Hà Đông, Hà Nội",06/05/2024,,,
80 m²,"12,5 tỷ","5,4 m",6 m,4 tầng,3 phòng,Sổ đỏ,Đầy đủ,Hà Nội,Long Biên,Nhà riêng tại đường Ngọc Thụy,"Đường Ngọc Thụy, Phường Ngọc Thụy, Long Biên, Hà Nội",03/05/2024,4 phòng,Tây,Tây
50 m²,"12,5 tỷ",,"3,5 m",7 tầng,12 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ.,Hà Nội,Nam Từ Liêm,Nhà riêng tại đường Mỹ Đình,"Ngõ 394, đường Mỹ Đình, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội.",02/05/2024,12 phòng,,
80 m²,"14,1 tỷ",6 m,5 m,7 tầng,15 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Nam Từ Liêm,Nhà riêng tại phường Xuân Phương,"Phường Xuân Phương, Nam Từ Liêm, Hà Nội",06/05/2024,7 phòng,,
125 m²,35 tỷ,"4,5 m",20 m,4 tầng,8 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ,Hà Nội,Long Biên,Nhà mặt phố tại đường Nguyễn Văn Cừ,"Đường Nguyễn Văn Cừ, Phường Bồ Đề, Long Biên, Hà Nội",03/05/2024,8 phòng,Đông - Nam,Đông - Nam
67 m²,"3,05 tỷ",,,,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Thanh Trì,Căn hộ chung cư tại Eco Green City,"Dự án Eco Green City, Đường Nguyễn Xiển, Xã Tân Triều, Thanh Trì, Hà Nội",06/05/2024,2 phòng,,
31 m²,"4,5 tỷ",,,5 tầng,3 phòng,Sổ đỏ/ Sổ hồng,,Hà Nội,Nam Từ Liêm,Nhà riêng tại đường Phú Đô,"Đường Phú Đô, Phường Phú Đô, Nam Từ Liêm, Hà Nội",03/05/2024,,,
31 m²,"6,5 tỷ","3,9 m",,6 tầng,,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ.,Hà Nội,Thanh Xuân,Nhà riêng tại đường Trường Chinh,"Đường Trường Chinh, Phường Khương Đình, Thanh Xuân, Hà Nội",06/05/2024,,,
32 m²,"1,75 tỷ",,,3 tầng,3 phòng,,,Hà Nội,Hà Đông,Nhà riêng tại đường Quốc lộ 6,"Đường Quốc lộ 6, Phường Biên Giang, Hà Đông, Hà Nội",02/05/2024,,,
31 m²,"6,5 tỷ","3,9 m",,6 tầng,,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ.,Hà Nội,Thanh Xuân,Nhà riêng tại đường Trường Chinh,"Đường Trường Chinh, Phường Khương Đình, Thanh Xuân, Hà Nội",06/05/2024,,,
32 m²,"1,75 tỷ",,,3 tầng,3 phòng,,,Hà Nội,Hà Đông,Nhà riêng tại đường Quốc lộ 6,"Đường Quốc lộ 6, Phường Biên Giang, Hà Đông, Hà Nội",02/05/2024,,,
138 m²,"23,5 tỷ",,,,,,,Hà Nội,Hoàng Mai,Nhà mặt phố tại đường Trương Định,"Đường Trương Định, Phường Tương Mai, Hoàng Mai, Hà Nội",06/05/2024,,,
86 m²,"5,2 tỷ",,,,3 phòng,Sổ đỏ/ Sổ hồng.,Full nội thất như hình.,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại Vinhomes Green Bay Mễ Trì,"Dự án Vinhomes Green Bay Mễ Trì, Đường Đại lộ Thăng Long, Phường Mễ Trì, Nam Từ Liêm, Hà Nội",04/05/2024,2 phòng,Tây - Bắc,Đông - Nam
30 m²,"3,85 tỷ","3,5 m",2 m,,,Sổ đỏ/ Sổ hồng,Cơ bản,Hà Nội,Nam Từ Liêm,Nhà riêng tại đường Đại Mỗ,"Đường Đại Mỗ, Phường Đại Mỗ, Nam Từ Liêm, Hà Nội",02/05/2024,,Tây - Nam,Tây - Nam
30 m²,"1,65 tỷ",,,,1 phòng,,,Hà Nội,Gia Lâm,Căn hộ chung cư tại Masteri Waterfront,"Dự án Masteri Water Front, Đường Quốc Lộ 5B, Xã Đa Tốn, Gia Lâm, Hà Nội",26/04/2024,1 phòng,,
85 m²,"18,8 tỷ",5 m,6 m,5 tầng,6 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Bắc Từ Liêm,Nhà riêng tại đường Tăng Thiết Giáp,"Đường Tăng Thiết Giáp, Phường Cổ Nhuế 2, Bắc Từ Liêm, Hà Nội",28/04/2024,4 phòng,,
45 m²,"6,5 tỷ",,,,,Sổ đỏ/ Sổ hồng.,,Hà Nội,Long Biên,Nhà riêng tại phường Phúc Đồng,"Phường Phúc Đồng, Long Biên, Hà Nội",06/05/2024,,,
138 m²,"12,95 tỷ","4,5 m",24 m,1 tầng,1 phòng,Đang chờ sổ,Cơ bản,Hà Nội,Hoàng Mai,Nhà mặt phố tại đường Giải Phóng,"Đường Giải Phóng, Phường Hoàng Liệt, Hoàng Mai, Hà Nội.",06/05/2024,1 phòng,,
46 m²,"7,55 tỷ","4,2 m",,4 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Thanh Xuân,Nhà riêng tại đường Hoàng Văn Thái,"Đường Hoàng Văn Thái, Phường Khương Mai, Thanh Xuân, Hà Nội",05/05/2024,3 phòng,,
115 m²,"23,3 tỷ",8 m,5 m,5 tầng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Tây Hồ,Nhà riêng tại đường Đồng Cổ,"Đường Đồng Cổ, Phường Thụy Khuê, Tây Hồ, Hà Nội",05/05/2024,5 phòng,,
73 m²,Thỏa thuận,,,,2 phòng,,Bàn giao nguyên bản.,Hà Nội,Gia Lâm,Căn hộ chung cư tại The Zenpark,"Dự án The Zenpark, Đường Đông Dư, Xã Dương Xá, Gia Lâm, Hà Nội",06/05/2024,,,
47 m²,14 tỷ,,,,,,,Hà Nội,Cầu Giấy,Nhà riêng tại đường Dương Quảng Hàm,"Đường Dương Quảng Hàm, Phường Dịch Vọng, Cầu Giấy, Hà Nội",05/05/2024,,,
82 m²,"2,8 tỷ",,,,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Gia Lâm,Căn hộ chung cư tại Vinhomes Ocean Park Gia Lâm,"Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội",08/04/2024,2 phòng,Đông - Nam,Đông - Nam
93 m²,Thỏa thuận,,,,3 phòng,,,Hà Nội,Hoài Đức,Căn hộ chung cư tại Thăng Long Victory,"Dự án Thăng Long Victory, Xã An Khánh, Hoài Đức, Hà Nội",08/04/2024,2 phòng,,
89 m²,"6,8 tỷ",5 m,6 m,3 tầng,3 phòng,Sổ đỏ/ Sổ hồng.,,Hà Nội,Long Biên,Nhà riêng tại phố Việt Hưng,"Phố Việt Hưng, Phường Việt Hưng, Long Biên, Hà Nội",01/05/2024,3 phòng,,
50 m²,11 tỷ,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Thanh Xuân,Nhà riêng tại phố Ngụy Như Kon Tum,"Phố Ngụy Như Kon Tum, Phường Nhân Chính, Thanh Xuân, Hà Nội",06/05/2024,3 phòng,,
181 m²,"14,5 tỷ",,,,3 phòng,Sổ đỏ/ Sổ hồng,,Hà Nội,Thanh Xuân,Căn hộ chung cư tại Royal City,"Dự án Royal City, Đường Nguyễn Trãi, Phường Thượng Đình, Thanh Xuân, Hà Nội",03/05/2024,3 phòng,,
90 m²,"35,5 triệu/m²",,,,3 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Hà Nội,Hà Đông,Căn hộ chung cư tại Chung cư CT4 Yên Nghĩa,"Dự án Chung cư CT4 Yên Nghĩa, Quận Hà Đông, Hà Nội",04/05/2024,2 phòng,Đông - Bắc,Tây - Nam
86 m²,"16,5 tỷ",,,,,Sổ đỏ/ Sổ hồng,,Hà Nội,Cầu Giấy,Nhà riêng tại đường Dương Khuê,"Đường Dương Khuê, Phường Mai Dịch, Cầu Giấy, Hà Nội",05/05/2024,,,
89 m²,"6,8 tỷ",5 m,6 m,3 tầng,3 phòng,Sổ đỏ/ Sổ hồng.,,Hà Nội,Long Biên,Nhà riêng tại phố Việt Hưng,"Phố Việt Hưng, Phường Việt Hưng, Long Biên, Hà Nội",01/05/2024,3 phòng,,
50 m²,11 tỷ,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Thanh Xuân,Nhà riêng tại phố Ngụy Như Kon Tum,"Phố Ngụy Như Kon Tum, Phường Nhân Chính, Thanh Xuân, Hà Nội",06/05/2024,3 phòng,,
181 m²,"14,5 tỷ",,,,3 phòng,Sổ đỏ/ Sổ hồng,,Hà Nội,Thanh Xuân,Căn hộ chung cư tại Royal City,"Dự án Royal City, Đường Nguyễn Trãi, Phường Thượng Đình, Thanh Xuân, Hà Nội",03/05/2024,3 phòng,,
90 m²,"35,5 triệu/m²",,,,3 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Hà Nội,Hà Đông,Căn hộ chung cư tại Chung cư CT4 Yên Nghĩa,"Dự án Chung cư CT4 Yên Nghĩa, Quận Hà Đông, Hà Nội",04/05/2024,2 phòng,Đông - Bắc,Tây - Nam
86 m²,"16,5 tỷ",,,,,Sổ đỏ/ Sổ hồng,,Hà Nội,Cầu Giấy,Nhà riêng tại đường Dương Khuê,"Đường Dương Khuê, Phường Mai Dịch, Cầu Giấy, Hà Nội",05/05/2024,,,
40 m²,"6,85 tỷ",4 m,3 m,5 tầng,4 phòng,Sổ đỏ.,Đầy đủ,Hà Nội,Thanh Xuân,Nhà riêng tại đường Bùi Xương Trạch,"Đường Bùi Xương Trạch, Phường Khương Đình, Thanh Xuân, Hà Nội",06/05/2024,4 phòng,,
41 m²,"5,5 tỷ",,,,,,,Hà Nội,Hà Đông,Nhà riêng tại phố Bà Triệu,"Phố Bà Triệu, Phường Hà Cầu, Hà Đông, Hà Nội",03/05/2024,,,
"71,3 m²","3,3 tỷ",,,,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Hoài Đức,Căn hộ chung cư tại Moonlight 1 - An Lạc Green Symphony,"Dự án Moonlight 1 - An Lạc Green Symphony, Xã An Khánh, Hoài Đức, Hà Nội",02/05/2024,2 phòng,,
50 m²,"13,5 tỷ",4 m,,5 tầng,,Sổ đỏ/ Sổ hồng,,Hà Nội,Đống Đa,Nhà riêng tại đường Nguyên Hồng,"Đường Nguyên Hồng, Phường Láng Hạ, Đống Đa, Hà Nội",02/05/2024,,,
44 m²,"9,9 tỷ",,,,,Sổ đỏ/ Sổ hồng,,Hà Nội,Cầu Giấy,Nhà riêng tại đường Cầu Giấy,"Đường Cầu Giấy, Phường Quan Hoa, Cầu Giấy, Hà Nội",05/05/2024,,,
"46,17 m²","3,2 tỷ",,,,1 phòng,,Cơ bản,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại Masteri West Heights,"Dự án Masteri West Heights, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội.",06/05/2024,1 phòng,,Đông - Bắc
