Quận,Loại nhà,Diện tích (m²),Mức giá (tỷ),Số phòng ngủ,Số toilet,Loại Nhà (mã hóa),Quận (mã hóa),Khoảng giá,Mức giá (triệu/m²)
Đống Đa,Căn hộ chung cư,58.0,2.45,2,1,0,24,1,42.241379310344826
Cầu Giấy,Nhà mặt phố,106.0,35.0,4,8,1,3,2,330.188679245283
Bắc Từ Liêm,Nhà riêng,40.0,4.2,3,3,2,1,1,105.0
Ba Đình,Căn hộ chung cư,102.0,7.3,3,2,0,0,1,71.56862745098039
Tây Hồ,Căn hộ chung cư,234.0,25.0,4,3,0,21,2,106.83760683760684
Thanh Xuân,Nhà mặt phố,60.0,16.8,4,3,1,18,2,280.0
Bắc Từ Liêm,Nhà riêng,35.0,4.8,3,4,2,1,1,137.14285714285714
Bắc Từ Liêm,Nhà riêng,40.0,6.2,4,3,2,1,1,155.0
Nam Từ Liêm,Nhà riêng,60.0,10.0,14,14,2,12,2,166.66666666666666
Hà Đông,Nhà riêng,40.0,5.5,4,3,2,9,1,137.5
Nam Từ Liêm,Nhà riêng,60.0,9.0,12,12,2,12,1,150.0
Long Biên,Nhà riêng,55.0,4.2,2,3,2,10,1,76.36363636363636
Đống Đa,Nhà riêng,52.0,6.7,4,4,2,24,1,128.84615384615384
Đống Đa,Nhà riêng,32.0,7.88,4,5,2,24,1,246.25
Long Biên,Nhà riêng,68.0,6.9,3,2,2,10,1,101.47058823529412
Đống Đa,Căn hộ chung cư,100.0,7.99,2,1,0,24,1,79.9
Tây Hồ,Căn hộ chung cư,141.0,9.87,3,4,0,21,1,70.0
Hoài Đức,Nhà riêng,62.0,9.3,16,17,2,6,1,150.0
Thanh Xuân,Nhà riêng,35.0,10.2,3,4,2,18,2,291.42857142857144
Đống Đa,Nhà riêng,57.0,29.0,7,7,2,24,2,508.7719298245614
Đống Đa,Nhà riêng,41.0,10.8,7,7,2,24,2,263.4146341463415
Ba Đình,Căn hộ chung cư,71.0,6.7,2,1,0,0,1,94.36619718309859
Ba Đình,Căn hộ chung cư,150.0,14.0,3,2,0,0,2,93.33333333333333
Cầu Giấy,Nhà mặt phố,102.0,25.0,4,3,1,3,2,245.09803921568627
Nam Từ Liêm,Nhà riêng,60.0,7.25,4,4,2,12,1,120.83333333333333
Nam Từ Liêm,Nhà riêng,88.0,17.2,6,6,2,12,2,195.45454545454547
Nam Từ Liêm,Nhà riêng,135.0,22.0,35,35,2,12,2,162.96296296296296
Nam Từ Liêm,Nhà riêng,61.0,15.5,5,5,2,12,2,254.0983606557377
Nam Từ Liêm,Nhà riêng,89.0,19.2,8,9,2,12,2,215.73033707865167
Nam Từ Liêm,Nhà riêng,61.0,9.5,3,4,2,12,1,155.7377049180328
Bắc Từ Liêm,Nhà riêng,97.0,25.6,11,10,2,1,2,263.91752577319585
Đống Đa,Nhà riêng,54.0,11.99,6,4,2,24,2,222.03703703703704
Ba Đình,Nhà riêng,38.0,5.99,4,5,2,0,1,157.6315789473684
Bắc Từ Liêm,Nhà riêng,121.0,39.5,48,50,2,1,2,326.44628099173553
Hoàn Kiếm,Nhà mặt phố,33.0,15.8,3,3,1,7,2,478.7878787878788
Hai Bà Trưng,Nhà riêng,34.0,6.8,3,5,2,5,1,200.0
Bắc Từ Liêm,Căn hộ chung cư,47.0,2.303,2,1,0,1,1,49.0
Đống Đa,Nhà riêng,60.0,14.0,5,5,2,24,2,233.33333333333334
Tây Hồ,Nhà mặt phố,73.0,29.99,12,14,1,21,2,410.82191780821915
Nam Từ Liêm,Nhà riêng,65.0,13.3,16,16,2,12,2,204.6153846153846
Cầu Giấy,Nhà riêng,80.0,22.0,6,5,2,3,2,275.0
Nam Từ Liêm,Nhà riêng,108.0,16.8,35,35,2,12,2,155.55555555555554
Hoàng Mai,Nhà riêng,42.0,7.26,6,4,2,8,1,172.85714285714286
Cầu Giấy,Nhà riêng,55.0,15.0,11,11,2,3,2,272.72727272727275
Cầu Giấy,Căn hộ chung cư,125.0,6.5,3,2,0,3,1,52.0
Nam Từ Liêm,Nhà riêng,38.0,5.75,4,4,2,12,1,151.31578947368422
Cầu Giấy,Căn hộ chung cư,125.0,6.25,3,2,0,3,1,50.0
Hai Bà Trưng,Nhà mặt phố,207.0,147.0,4,4,1,5,3,710.1449275362319
Cầu Giấy,Nhà riêng,55.0,12.5,6,4,2,3,2,227.27272727272728
Hà Đông,Nhà riêng,44.0,8.9,5,5,2,9,1,202.27272727272728
Hà Đông,Nhà mặt phố,90.0,21.0,4,4,1,9,2,233.33333333333334
Ba Đình,Nhà riêng,61.0,11.7,3,2,2,0,2,191.80327868852459
Hà Đông,Nhà mặt phố,65.0,14.5,5,5,1,9,2,223.07692307692307
Hà Đông,Nhà mặt phố,130.0,45.0,8,8,1,9,2,346.15384615384613
Đống Đa,Nhà riêng,29.0,4.6,4,5,2,24,1,158.6206896551724
Hai Bà Trưng,Căn hộ chung cư,74.0,5.1,2,2,0,5,1,68.91891891891892
Hoàng Mai,Căn hộ chung cư,58.0,2.78,2,2,0,8,1,47.93103448275862
Hà Đông,Nhà mặt phố,75.0,19.8,4,4,1,9,2,264.0
Hà Đông,Nhà mặt phố,77.0,19.5,26,27,1,9,2,253.24675324675326
Đống Đa,Nhà mặt phố,43.0,16.99,4,6,1,24,2,395.1162790697674
Hà Đông,Nhà riêng,50.0,8.6,5,5,2,9,1,172.0
Cầu Giấy,Căn hộ chung cư,70.0,4.1,2,2,0,3,1,58.57142857142857
Ba Đình,Nhà mặt phố,82.0,35.0,2,2,1,0,2,426.8292682926829
Cầu Giấy,Nhà riêng,100.0,24.5,4,4,2,3,2,245.0
Hà Đông,Nhà mặt phố,38.0,12.5,5,6,1,9,2,328.94736842105266
Hoàng Mai,Nhà riêng,50.0,10.5,6,5,2,8,2,210.0
Đống Đa,Nhà mặt phố,54.0,19.99,4,4,1,24,2,370.18518518518516
Ba Đình,Nhà riêng,34.0,5.0,3,3,2,0,1,147.05882352941177
Hai Bà Trưng,Căn hộ chung cư,74.0,5.0,2,2,0,5,1,67.56756756756756
Hai Bà Trưng,Nhà riêng,46.0,10.0,6,5,2,5,2,217.3913043478261
Đống Đa,Nhà mặt phố,56.0,27.0,6,7,1,24,2,482.14285714285717
Ba Đình,Nhà riêng,60.0,9.0,6,4,2,0,1,150.0
Đống Đa,Nhà mặt phố,60.0,16.0,6,4,1,24,2,266.6666666666667
Thanh Xuân,Nhà riêng,40.0,7.44,5,5,2,18,1,186.0
Hai Bà Trưng,Nhà mặt phố,130.0,60.0,8,10,1,5,3,461.53846153846155
Ba Đình,Nhà riêng,56.0,9.9,6,4,2,0,1,176.78571428571428
Hà Đông,Nhà riêng,43.0,6.5,4,4,2,9,1,151.1627906976744
Hai Bà Trưng,Nhà mặt phố,160.0,79.9,6,6,1,5,3,499.375
Long Biên,Nhà riêng,42.0,8.2,4,4,2,10,1,195.23809523809524
Ba Đình,Nhà riêng,120.0,40.0,4,4,2,0,2,333.3333333333333
Đống Đa,Nhà riêng,52.0,11.0,5,5,2,24,2,211.53846153846155
Hoàng Mai,Nhà riêng,38.0,4.4,3,4,2,8,1,115.78947368421052
Ba Đình,Nhà mặt phố,103.0,37.9,6,6,1,0,2,367.9611650485437
Bắc Từ Liêm,Căn hộ chung cư,100.0,4.2,3,2,0,1,1,42.0
Ba Đình,Nhà riêng,29.0,6.9,4,4,2,0,1,237.93103448275863
Hai Bà Trưng,Nhà mặt phố,250.0,100.0,8,5,1,5,3,400.0
Tây Hồ,Nhà riêng,150.0,10.8,5,5,2,21,2,72.0
Đống Đa,Nhà mặt phố,50.0,15.0,4,4,1,24,2,300.0
Đống Đa,Nhà riêng,58.0,8.5,12,5,2,24,1,146.55172413793105
Hai Bà Trưng,Nhà riêng,150.0,39.9,5,5,2,5,2,266.0
Ba Đình,Nhà riêng,40.0,7.8,4,3,2,0,1,195.0
Hoàng Mai,Nhà riêng,45.0,3.9,3,3,2,8,1,86.66666666666667
Thanh Xuân,Nhà riêng,90.0,11.5,6,5,2,18,2,127.77777777777777
Hà Đông,Nhà riêng,55.0,4.99,4,4,2,9,1,90.72727272727273
Cầu Giấy,Nhà mặt phố,83.0,22.0,14,9,1,3,2,265.06024096385545
Đống Đa,Nhà riêng,55.0,14.8,14,14,2,24,2,269.09090909090907
Thanh Trì,Căn hộ chung cư,39.0,1.1,1,1,0,17,0,28.205128205128204
Hai Bà Trưng,Nhà riêng,26.0,3.55,3,4,2,5,1,136.53846153846155
Gia Lâm,Căn hộ chung cư,100.0,3.5,3,2,0,4,1,35.0
Tây Hồ,Nhà mặt phố,62.0,14.8,6,5,1,21,2,238.70967741935485
Thanh Xuân,Nhà riêng,42.0,7.55,3,3,2,18,1,179.76190476190476
Long Biên,Nhà mặt phố,182.0,19.2,4,4,1,10,2,105.49450549450549
Long Biên,Nhà riêng,80.0,9.6,4,2,2,10,1,120.0
Thanh Trì,Nhà riêng,35.0,1.55,3,1,2,17,0,44.285714285714285
Đống Đa,Nhà riêng,32.0,6.2,3,3,2,24,1,193.75
Cầu Giấy,Nhà mặt phố,90.0,24.5,6,6,1,3,2,272.22222222222223
Hoàng Mai,Nhà riêng,33.0,4.3,3,4,2,8,1,130.3030303030303
Long Biên,Nhà riêng,85.0,10.8,6,5,2,10,2,127.05882352941177
Hà Đông,Nhà riêng,45.0,10.5,5,6,2,9,2,233.33333333333334
Long Biên,Nhà riêng,102.0,9.5,4,3,2,10,1,93.13725490196079
Long Biên,Nhà mặt phố,81.0,33.6,5,3,1,10,2,414.81481481481484
Thanh Xuân,Căn hộ chung cư,94.0,5.452,3,2,0,18,1,58.0
Thanh Xuân,Nhà riêng,40.0,11.95,4,5,2,18,2,298.75
Đống Đa,Căn hộ chung cư,45.0,1.95,2,1,0,24,0,43.333333333333336
Bắc Từ Liêm,Nhà mặt phố,46.0,10.5,3,5,1,1,2,228.2608695652174
Bắc Từ Liêm,Nhà mặt phố,188.0,38.5,7,10,1,1,2,204.7872340425532
Đống Đa,Căn hộ chung cư,96.0,5.3,3,2,0,24,1,55.208333333333336
Hà Đông,Nhà riêng,99.0,7.5,3,3,2,9,1,75.75757575757575
Tây Hồ,Nhà riêng,39.0,10.2,3,3,2,21,2,261.53846153846155
Nam Từ Liêm,Căn hộ chung cư,42.0,2.5,1,1,0,12,1,59.523809523809526
Tây Hồ,Nhà riêng,81.0,21.0,5,4,2,21,2,259.25925925925924
Long Biên,Nhà riêng,50.0,11.5,5,5,2,10,2,230.0
Cầu Giấy,Nhà mặt phố,140.0,60.0,2,1,1,3,3,428.57142857142856
Cầu Giấy,Nhà mặt phố,108.0,21.0,8,8,1,3,2,194.44444444444446
Đống Đa,Nhà riêng,58.0,8.5,10,5,2,24,1,146.55172413793105
Ba Đình,Nhà mặt phố,105.0,68.5,6,6,1,0,3,652.3809523809524
Hai Bà Trưng,Nhà riêng,50.0,6.5,4,3,2,5,1,130.0
Đống Đa,Nhà mặt phố,60.0,15.9,4,3,1,24,2,265.0
Nam Từ Liêm,Nhà riêng,40.0,5.6,4,3,2,12,1,140.0
Bắc Từ Liêm,Nhà riêng,42.0,7.3,4,3,2,1,1,173.8095238095238
Cầu Giấy,Nhà riêng,88.0,17.8,7,7,2,3,2,202.27272727272728
Hai Bà Trưng,Nhà riêng,60.0,10.85,9,5,2,5,2,180.83333333333334
Thanh Xuân,Nhà riêng,40.0,4.5,3,4,2,18,1,112.5
Ba Đình,Nhà mặt phố,105.0,68.5,6,6,1,0,3,652.3809523809524
Bắc Từ Liêm,Nhà mặt phố,35.0,6.7,3,5,1,1,1,191.42857142857142
Thanh Xuân,Nhà riêng,85.0,6.9,5,5,2,18,1,81.17647058823529
Cầu Giấy,Nhà mặt phố,58.0,25.0,6,6,1,3,2,431.0344827586207
Đống Đa,Nhà mặt phố,125.0,21.9,2,2,1,24,2,175.2
Đống Đa,Nhà riêng,80.0,20.0,2,2,2,24,2,250.0
Cầu Giấy,Căn hộ chung cư,91.0,4.5,2,2,0,3,1,49.45054945054945
Tây Hồ,Nhà riêng,42.0,5.25,5,4,2,21,1,125.0
Nam Từ Liêm,Nhà mặt phố,71.0,12.0,7,7,1,12,2,169.01408450704224
Tây Hồ,Nhà mặt phố,130.0,78.0,8,9,1,21,3,600.0
Hà Đông,Căn hộ chung cư,90.0,4.86,3,2,0,9,1,54.0
Cầu Giấy,Nhà riêng,50.0,10.5,5,5,2,3,2,210.0
Tây Hồ,Nhà mặt phố,105.0,36.5,18,18,1,21,2,347.6190476190476
Bắc Từ Liêm,Nhà riêng,51.0,6.3,3,2,2,1,1,123.52941176470588
Nam Từ Liêm,Căn hộ chung cư,80.0,7.52,3,2,0,12,1,94.0
Hà Đông,Nhà mặt phố,50.0,6.5,3,3,1,9,1,130.0
Hà Đông,Nhà riêng,35.0,4.2,3,3,2,9,1,120.0
Hà Đông,Nhà riêng,38.0,4.0,4,4,2,9,1,105.26315789473684
Long Biên,Nhà riêng,33.0,4.25,3,4,2,10,1,128.78787878787878
Nam Từ Liêm,Nhà riêng,68.0,11.0,19,20,2,12,2,161.76470588235293
Mê Linh,Nhà riêng,98.0,2.99,3,2,2,11,1,30.510204081632654
Thanh Xuân,Căn hộ chung cư,81.0,5.8,3,2,0,18,1,71.60493827160494
Long Biên,Nhà riêng,45.0,6.4,3,5,2,10,1,142.22222222222223
Hoàng Mai,Nhà riêng,35.0,5.5,3,4,2,8,1,157.14285714285714
Hai Bà Trưng,Nhà riêng,41.0,8.6,4,4,2,5,1,209.7560975609756
Đống Đa,Nhà mặt phố,100.0,25.0,7,7,1,24,2,250.0
Long Biên,Nhà riêng,46.0,5.9,3,4,2,10,1,128.2608695652174
Nam Từ Liêm,Nhà riêng,42.0,4.85,4,4,2,12,1,115.47619047619048
Thanh Xuân,Nhà riêng,44.0,8.5,5,4,2,18,1,193.1818181818182
Nam Từ Liêm,Nhà riêng,179.0,39.5,6,5,2,12,2,220.6703910614525
Nam Từ Liêm,Nhà riêng,50.0,4.9,4,4,2,12,1,98.0
Cầu Giấy,Nhà riêng,30.0,5.1,3,4,2,3,1,170.0
Nam Từ Liêm,Nhà riêng,33.0,6.4,2,4,2,12,1,193.93939393939394
Nam Từ Liêm,Căn hộ chung cư,42.0,2.6,1,1,0,12,1,61.904761904761905
Nam Từ Liêm,Căn hộ chung cư,60.0,3.9,2,2,0,12,1,65.0
Thanh Trì,Nhà riêng,45.0,5.0,6,4,2,17,1,111.11111111111111
Cầu Giấy,Nhà riêng,45.0,18.0,7,5,2,3,2,400.0
Hà Đông,Nhà mặt phố,105.0,32.0,8,8,1,9,2,304.76190476190476
Hoàng Mai,Nhà mặt phố,40.0,14.5,3,4,1,8,2,362.5
Đống Đa,Nhà riêng,46.0,17.0,5,4,2,24,2,369.5652173913044
Đống Đa,Nhà riêng,42.0,8.6,6,6,2,24,1,204.76190476190476
Nam Từ Liêm,Căn hộ chung cư,132.0,5.75,3,3,0,12,1,43.56060606060606
Nam Từ Liêm,Căn hộ chung cư,106.0,4.9,3,2,0,12,1,46.22641509433962
Cầu Giấy,Căn hộ chung cư,70.0,2.6,2,1,0,3,1,37.142857142857146
Nam Từ Liêm,Căn hộ chung cư,100.0,5.2,3,2,0,12,1,52.0
Cầu Giấy,Căn hộ chung cư,77.0,5.6,2,2,0,3,1,72.72727272727273
Hà Đông,Nhà riêng,45.0,4.9,4,4,2,9,1,108.88888888888889
Nam Từ Liêm,Căn hộ chung cư,83.0,5.1,3,2,0,12,1,61.44578313253012
Hà Đông,Căn hộ chung cư,78.0,2.34,2,2,0,9,1,30.0
Nam Từ Liêm,Căn hộ chung cư,85.0,3.8,2,2,0,12,1,44.705882352941174
Hai Bà Trưng,Nhà mặt phố,125.0,37.0,6,6,1,5,2,296.0
Hai Bà Trưng,Căn hộ chung cư,30.0,2.99,1,1,0,5,1,99.66666666666667
Nam Từ Liêm,Căn hộ chung cư,42.0,2.6,1,1,0,12,1,61.904761904761905
Nam Từ Liêm,Nhà riêng,58.0,9.3,13,13,2,12,1,160.3448275862069
Long Biên,Nhà riêng,62.0,14.6,4,5,2,10,2,235.48387096774192
Đống Đa,Nhà riêng,58.0,10.5,3,3,2,24,2,181.0344827586207
Đống Đa,Nhà riêng,43.0,6.0,2,3,2,24,1,139.53488372093022
Nam Từ Liêm,Nhà riêng,100.0,24.5,32,32,2,12,2,245.0
Hoàng Mai,Nhà riêng,30.0,3.9,3,4,2,8,1,130.0
Đống Đa,Nhà riêng,40.0,4.8,4,4,2,24,1,120.0
Đống Đa,Nhà riêng,40.0,8.45,4,3,2,24,1,211.25
Đống Đa,Nhà riêng,58.0,8.5,4,3,2,24,1,146.55172413793105
Đống Đa,Nhà riêng,55.0,5.96,4,3,2,24,1,108.36363636363636
Hoàng Mai,Nhà riêng,40.0,5.8,7,7,2,8,1,145.0
Đống Đa,Nhà riêng,45.0,7.8,3,3,2,24,1,173.33333333333334
Thanh Xuân,Căn hộ chung cư,106.0,5.0,3,2,0,18,1,47.16981132075472
Hà Đông,Căn hộ chung cư,97.0,3.4,3,2,0,9,1,35.05154639175258
Nam Từ Liêm,Căn hộ chung cư,60.0,4.0,2,2,0,12,1,66.66666666666667
Hoàng Mai,Nhà riêng,75.0,17.9,6,6,2,8,2,238.66666666666666
Đống Đa,Nhà mặt phố,40.0,16.0,4,4,1,24,2,400.0
Hà Đông,Nhà mặt phố,86.0,21.5,6,6,1,9,2,250.0
Đống Đa,Nhà riêng,48.0,13.4,4,5,2,24,2,279.1666666666667
Thanh Xuân,Nhà riêng,43.0,10.5,4,5,2,18,2,244.1860465116279
Ba Đình,Nhà riêng,300.0,96.0,50,50,2,0,3,320.0
Ba Đình,Nhà riêng,52.0,5.25,3,3,2,0,1,100.96153846153847
Nam Từ Liêm,Căn hộ chung cư,32.0,1.9,1,1,0,12,0,59.375
Đống Đa,Nhà riêng,45.0,7.5,4,3,2,24,1,166.66666666666666
Đống Đa,Nhà riêng,41.0,10.79,5,4,2,24,2,263.1707317073171
Thanh Xuân,Nhà riêng,50.0,9.68,4,3,2,18,1,193.6
Ba Đình,Nhà riêng,30.0,7.5,4,4,2,0,1,250.0
Đống Đa,Nhà mặt phố,136.0,38.0,6,3,1,24,2,279.4117647058824
Cầu Giấy,Nhà riêng,35.0,5.6,3,3,2,3,1,160.0
Ba Đình,Nhà riêng,60.0,15.9,6,6,2,0,2,265.0
Nam Từ Liêm,Nhà riêng,40.0,8.89,10,10,2,12,1,222.25
Long Biên,Nhà riêng,65.0,17.2,3,4,2,10,2,264.61538461538464
Long Biên,Nhà riêng,114.0,22.0,8,9,2,10,2,192.98245614035088
Thanh Xuân,Căn hộ chung cư,300.0,11.7,4,4,0,18,2,39.0
Long Biên,Căn hộ chung cư,63.0,2.7,2,2,0,10,1,42.857142857142854
Long Biên,Nhà mặt phố,82.0,10.9,1,1,1,10,2,132.9268292682927
Gia Lâm,Căn hộ chung cư,33.0,1.3,1,1,0,4,0,39.39393939393939
Hoàng Mai,Căn hộ chung cư,93.0,3.25,3,2,0,8,1,34.946236559139784
Cầu Giấy,Căn hộ chung cư,60.0,3.15,2,1,0,3,1,52.5
Nam Từ Liêm,Căn hộ chung cư,69.0,2.4,2,2,0,12,1,34.78260869565217
Tây Hồ,Nhà riêng,40.0,6.0,6,4,2,21,1,150.0
Hoàng Mai,Nhà riêng,70.0,11.8,5,8,2,8,2,168.57142857142858
Cầu Giấy,Căn hộ chung cư,80.0,2.95,3,2,0,3,1,36.875
Hoàng Mai,Nhà riêng,34.0,4.85,3,4,2,8,1,142.64705882352942
Hà Đông,Nhà riêng,30.0,5.25,3,4,2,9,1,175.0
Long Biên,Nhà riêng,62.0,13.8,4,5,2,10,2,222.58064516129033
Nam Từ Liêm,Căn hộ chung cư,70.0,3.3,3,2,0,12,1,47.142857142857146
Cầu Giấy,Căn hộ chung cư,78.0,3.5,2,2,0,3,1,44.87179487179487
Thanh Trì,Căn hộ chung cư,88.0,3.15,3,2,0,17,1,35.79545454545455
Nam Từ Liêm,Căn hộ chung cư,94.0,4.0,2,2,0,12,1,42.5531914893617
Hà Đông,Nhà riêng,90.0,17.0,4,4,2,9,2,188.88888888888889
Nam Từ Liêm,Căn hộ chung cư,58.0,2.75,2,1,0,12,1,47.41379310344828
Nam Từ Liêm,Căn hộ chung cư,106.0,4.65,3,2,0,12,1,43.867924528301884
Cầu Giấy,Căn hộ chung cư,138.0,7.4,3,2,0,3,1,53.6231884057971
Hai Bà Trưng,Nhà riêng,66.0,16.5,6,4,2,5,2,250.0
Cầu Giấy,Nhà riêng,55.0,16.9,8,8,2,3,2,307.27272727272725
Ba Đình,Nhà riêng,77.0,8.3,4,3,2,0,1,107.79220779220779
Hà Đông,Căn hộ chung cư,65.0,2.54,2,2,0,9,1,39.07692307692308
Hà Đông,Căn hộ chung cư,48.0,2.1,2,1,0,9,1,43.75
Hà Đông,Căn hộ chung cư,79.0,3.17,3,2,0,9,1,40.12658227848101
Cầu Giấy,Nhà riêng,80.0,21.5,6,5,2,3,2,268.75
Cầu Giấy,Nhà riêng,80.0,20.0,9,9,2,3,2,250.0
Hà Đông,Căn hộ chung cư,55.0,2.3,2,1,0,9,1,41.81818181818182
Tây Hồ,Nhà mặt phố,120.0,26.5,5,4,1,21,2,220.83333333333334
Hoàn Kiếm,Nhà mặt phố,26.0,17.79,3,3,1,7,2,684.2307692307693
Hà Đông,Căn hộ chung cư,65.0,2.5,2,2,0,9,1,38.46153846153846
Tây Hồ,Nhà riêng,140.0,24.0,33,33,2,21,2,171.42857142857142
Hà Đông,Căn hộ chung cư,151.0,4.2,3,2,0,9,1,27.814569536423843
Tây Hồ,Nhà mặt phố,120.0,34.8,32,32,1,21,2,290.0
Hà Đông,Căn hộ chung cư,80.0,3.0,3,2,0,9,1,37.5
Hà Đông,Căn hộ chung cư,91.0,3.1,2,2,0,9,1,34.065934065934066
Tây Hồ,Nhà mặt phố,100.0,28.0,9,9,1,21,2,280.0
Thanh Trì,Căn hộ chung cư,127.0,3.9,4,3,0,17,1,30.708661417322833
Hà Đông,Căn hộ chung cư,106.0,3.3,3,2,0,9,1,31.132075471698112
Tây Hồ,Nhà riêng,190.0,33.0,28,28,2,21,2,173.68421052631578
Long Biên,Nhà mặt phố,215.0,120.0,12,12,1,10,3,558.1395348837209
Hà Đông,Căn hộ chung cư,103.0,3.35,3,2,0,9,1,32.52427184466019
Hoàng Mai,Nhà mặt phố,85.0,25.5,2,2,1,8,2,300.0
Nam Từ Liêm,Nhà mặt phố,80.0,24.0,4,5,1,12,2,300.0
Tây Hồ,Nhà riêng,180.0,33.0,28,28,2,21,2,183.33333333333334
Hà Đông,Căn hộ chung cư,114.0,3.55,3,2,0,9,1,31.140350877192983
Thanh Xuân,Căn hộ chung cư,128.0,8.8,3,2,0,18,1,68.75
Cầu Giấy,Nhà riêng,66.0,11.48,4,5,2,3,2,173.93939393939394
Hà Đông,Căn hộ chung cư,62.0,2.5,2,2,0,9,1,40.32258064516129
Cầu Giấy,Nhà riêng,60.0,13.0,6,7,2,3,2,216.66666666666666
Bắc Từ Liêm,Nhà riêng,100.0,16.0,20,20,2,1,2,160.0
Hà Đông,Nhà riêng,147.0,20.0,6,5,2,9,2,136.05442176870747
Hà Đông,Căn hộ chung cư,62.0,2.5,2,2,0,9,1,40.32258064516129
Tây Hồ,Nhà riêng,70.0,8.35,4,5,2,21,1,119.28571428571429
Hà Đông,Căn hộ chung cư,99.0,4.05,3,2,0,9,1,40.90909090909091
Đống Đa,Nhà riêng,34.0,8.0,4,4,2,24,1,235.2941176470588
Nam Từ Liêm,Căn hộ chung cư,105.0,4.5,3,2,0,12,1,42.857142857142854
Hà Đông,Căn hộ chung cư,76.0,3.05,2,1,0,9,1,40.13157894736842
Tây Hồ,Nhà riêng,40.0,10.0,4,4,2,21,2,250.0
Nam Từ Liêm,Căn hộ chung cư,92.0,5.5,3,2,0,12,1,59.78260869565217
Ba Đình,Nhà riêng,70.0,20.5,7,7,2,0,2,292.85714285714283
Nam Từ Liêm,Căn hộ chung cư,110.0,5.5,3,2,0,12,1,50.0
Ba Đình,Nhà riêng,31.0,5.8,3,4,2,0,1,187.09677419354838
Cầu Giấy,Căn hộ chung cư,73.0,4.3,2,2,0,3,1,58.9041095890411
Tây Hồ,Nhà riêng,47.0,9.8,5,5,2,21,1,208.51063829787233
Nam Từ Liêm,Căn hộ chung cư,137.0,6.9,4,3,0,12,1,50.36496350364963
Đống Đa,Nhà mặt phố,59.0,30.0,4,5,1,24,2,508.47457627118644
Hà Đông,Căn hộ chung cư,94.0,3.75,2,2,0,9,1,39.8936170212766
Hà Đông,Căn hộ chung cư,79.0,3.35,2,2,0,9,1,42.40506329113924
Hà Đông,Căn hộ chung cư,116.0,4.8,3,2,0,9,1,41.37931034482759
Long Biên,Nhà mặt phố,75.0,7.9,3,2,1,10,1,105.33333333333333
Long Biên,Căn hộ chung cư,77.0,4.6,2,2,0,10,1,59.74025974025974
Tây Hồ,Nhà riêng,91.0,13.5,20,20,2,21,2,148.35164835164835
Tây Hồ,Nhà riêng,48.0,5.2,5,5,2,21,1,108.33333333333333
Long Biên,Căn hộ chung cư,90.0,4.0,2,2,0,10,1,44.44444444444444
Nam Từ Liêm,Căn hộ chung cư,60.0,3.0,2,2,0,12,1,50.0
Đống Đa,Nhà riêng,93.0,20.0,2,8,2,24,2,215.05376344086022
Hoàn Kiếm,Nhà mặt phố,60.0,78.0,12,13,1,7,3,1300.0
Cầu Giấy,Nhà mặt phố,120.0,55.0,6,6,1,3,3,458.3333333333333
Long Biên,Nhà riêng,30.0,3.98,3,4,2,10,1,132.66666666666666
Long Biên,Nhà riêng,60.0,7.8,3,4,2,10,1,130.0
Long Biên,Nhà riêng,33.0,4.75,3,4,2,10,1,143.93939393939394
Long Biên,Nhà riêng,30.0,3.8,3,4,2,10,1,126.66666666666667
Hà Đông,Nhà riêng,45.0,10.0,4,3,2,9,2,222.22222222222223
Đống Đa,Căn hộ chung cư,32.0,2.7,1,1,0,24,1,84.375
Đống Đa,Nhà riêng,35.0,5.2,3,4,2,24,1,148.57142857142858
Thanh Xuân,Căn hộ chung cư,120.0,6.7,3,2,0,18,1,55.833333333333336
Cầu Giấy,Nhà riêng,35.0,5.3,3,4,2,3,1,151.42857142857142
Hai Bà Trưng,Nhà riêng,65.0,7.3,6,4,2,5,1,112.3076923076923
Cầu Giấy,Căn hộ chung cư,128.0,9.5,3,2,0,3,1,74.21875
Cầu Giấy,Nhà riêng,65.0,17.0,13,13,2,3,2,261.53846153846155
Tây Hồ,Nhà riêng,45.0,13.5,5,4,2,21,2,300.0
Đống Đa,Nhà riêng,90.0,28.5,8,7,2,24,2,316.6666666666667
Long Biên,Nhà riêng,80.0,16.5,4,4,2,10,2,206.25
Ba Đình,Nhà riêng,52.0,9.8,6,4,2,0,1,188.46153846153845
Long Biên,Nhà riêng,30.0,3.15,3,2,2,10,1,105.0
Hoàng Mai,Nhà riêng,40.0,3.5,4,3,2,8,1,87.5
Hoàng Mai,Nhà riêng,60.0,5.95,3,3,2,8,1,99.16666666666667
Hoàng Mai,Nhà riêng,55.0,7.9,6,4,2,8,1,143.63636363636363
Thanh Xuân,Căn hộ chung cư,100.0,5.2,3,2,0,18,1,52.0
Cầu Giấy,Căn hộ chung cư,110.0,4.0,2,2,0,3,1,36.36363636363637
Đống Đa,Nhà riêng,40.0,7.8,2,1,2,24,1,195.0
Thanh Xuân,Nhà mặt phố,55.0,17.0,4,3,1,18,2,309.09090909090907
Thanh Xuân,Nhà riêng,50.0,9.0,4,4,2,18,1,180.0
Nam Từ Liêm,Căn hộ chung cư,54.0,3.1,2,1,0,12,1,57.407407407407405
Tây Hồ,Nhà mặt phố,353.0,135.0,6,7,1,21,3,382.4362606232295
