Diện tích,Mức giá,Hướng nhà,Hướng ban công,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Quận,Thành phố,Loại,Địa chỉ,Ngày đăng,Mặt tiền,Số tầng,Đường vào
65 m²,"2,39 tỷ",,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Hà Đông,Căn hộ chung cư tại Xuân Mai Complex,"Dự án Xuân Mai Complex, Đường Tố Hữu, Phường Yên Nghĩa, Hà Đông, Hà Nội",03/05/2024,,,
127 m²,"5,95 tỷ",Tây - Nam,,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Hà Đông,Căn hộ chung cư tại Mulberry Lane,"Dự án Mulberry Lane, Phường Mỗ Lao, Hà Đông, Hà Nội",03/05/2024,,,
85 m²,12 tỷ,,,35 phòng,,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Đống Đa,Nhà riêng tại phố Xã Đàn,"Phố Xã Đàn, Phường Phương Liên, Đống Đa, Hà Nội",02/05/2024,,7 tầng,
105 m²,"6,05 tỷ",,,3 phòng,2 phòng,,,Hà Nội,Thanh Xuân,Căn hộ chung cư tại King Palace,"Dự án King Palace, Quận Thanh Xuân, Hà Nội",03/05/2024,,,
"67,3 m²","12,7 tỷ",,,,,Sổ đỏ/ Sổ hồng,,Hà Nội,Cầu Giấy,Nhà riêng tại đường Yên Hòa,"Đường Yên Hòa, Phường Yên Hòa, Cầu Giấy, Hà Nội",03/05/2024,"4,13 m",3 tầng,
90 m²,"11,8 tỷ",Đông - Nam,,,,Sổ đỏ/ Sổ hồng,Không nội thất.,Hà Nội,Hoàng Mai,Nhà riêng tại đường Lương Khánh Thiện,"Đường Lương Khánh Thiện, Phường Tương Mai, Hoàng Mai, Hà Nội",02/05/2024,4 m,2 tầng,3 m
42 m²,"1,5 tỷ",,,,,Đang chờ sổ,,Hà Nội,Nam Từ Liêm,Nhà riêng tại đường Xuân Phương,"Ngõ 406, Đường Xuân Phương, Phường Xuân Phương, Nam Từ Liêm, Hà Nội",03/05/2024,,,
63 m²,"2,5 tỷ",,,2 phòng,2 phòng,Sẵn sổ,,Hà Nội,Gia Lâm,Căn hộ chung cư tại Vinhomes Ocean Park Gia Lâm,"Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội",03/05/2024,,,
"146,5 m²",105 tỷ,,,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Ba Đình,Nhà mặt phố tại phố Kim Mã Thượng,"68, Phố Kim Mã Thượng, Phường Cống Vị, Ba Đình, Hà Nội",03/05/2024,7 m,10 tầng,10 m
80 m²,23 tỷ,,,,,,,Hà Nội,Đống Đa,Nhà riêng tại đường Trần Quang Diệu,"Đường Trần Quang Diệu, Phường Ô Chợ Dừa, Đống Đa, Hà Nội",03/05/2024,,5 tầng,
"89,5 m²","4,6 tỷ",,,2 phòng,2 phòng,,Full đồ.,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại The Emerald,"Dự án The Emerald CT8 Mỹ Đình, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội.",03/05/2024,,,
345 m²,95 triệu/m²,Đông - Nam,Tây - Bắc,,,,,Hà Nội,Đống Đa,Căn hộ chung cư tại Green Diamond 93 Láng Hạ,"Dự án Green Diamond 93 Láng Hạ, Phố Láng Hạ, Phường Láng Hạ, Đống Đa, Hà Nội",03/05/2024,,,
39 m²,6 tỷ,,,9 phòng,,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Cầu Giấy,Nhà riêng tại đường Trần Quốc Vượng,"Đường Trần Quốc Vượng, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",03/05/2024,"3,6 m",4 tầng,3 m
95 m²,Thỏa thuận,,,1 phòng,1 phòng,,,Hà Nội,Đống Đa,Căn hộ chung cư tại đường Láng,"90 Đường Láng, Phường Láng Hạ, Đống Đa, Hà Nội",03/05/2024,,,
145 m²,Thỏa thuận,Đông - Bắc,Đông - Nam,4 phòng,2 phòng,,Nội thất cao cấp.,Hà Nội,Hà Đông,Căn hộ chung cư tại Mulberry Lane,"Dự án Mulberry Lane, Phường Mỗ Lao, Hà Đông, Hà Nội",03/05/2024,,,
"107,35 m²","4,6 tỷ",Đông - Bắc,Đông - Bắc,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Hà Đông,Căn hộ chung cư tại Chung cư Booyoung,"Dự án Booyoung, Đường Vũ Trọng Khánh, Phường Mỗ Lao, Hà Đông, Hà Nội",03/05/2024,,,
85 m²,4 tỷ,Tây - Nam,Đông - Nam,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Hà Đông,Căn hộ chung cư tại Seasons Avenue,"Dự án Seasons Avenue, Phường Mỗ Lao, Hà Đông, Hà Nội",03/05/2024,,,
64 m²,"3,4 tỷ",Tây,Đông,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Cầu Giấy,Căn hộ chung cư tại Khu đô thị Nam Trung Yên,"Dự án Nam Trung Yên, Đường Phạm Hùng, Phường Trung Hòa, Cầu Giấy, Hà Nội",03/05/2024,,,
80 m²,Thỏa thuận,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Full NT.,Hà Nội,Hà Đông,Căn hộ chung cư tại Seasons Avenue,"Dự án Seasons Avenue, Phường Mỗ Lao, Hà Đông, Hà Nội",03/05/2024,,,
78 m²,4 tỷ,Đông - Bắc,Đông - Nam,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại Ecolife Capitol,"Dự án Ecolife Capitol, Đường Tố Hữu, Phường Trung Văn, Nam Từ Liêm, Hà Nội.",03/05/2024,,,
124 m²,5 tỷ,Tây,Đông - Nam,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Hà Đông,Căn hộ chung cư tại La Casta Văn Phú,"Dự án La Casta Văn Phú, Đường Lê Trọng Tấn, Phường Phú La, Hà Đông, Hà Nội",03/05/2024,,,
"167,5 m²",61 tỷ,,,,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Đống Đa,Nhà riêng tại phố Hoàng Cầu,"Phố Hoàng Cầu, Phường Ô Chợ Dừa, Đống Đa, Hà Nội",03/05/2024,7 m,4 tầng,10 m
64 m²,"12,9 tỷ",,,4 phòng,,,,Hà Nội,Thanh Xuân,Nhà riêng tại đường Nguyễn Ngọc Nại,"Đường Nguyễn Ngọc Nại, Phường Khương Mai, Thanh Xuân, Hà Nội",03/05/2024,,4 tầng,
"45,7 m²","2,11 tỷ",,Đông - Bắc,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Hà Nội,Gia Lâm,Căn hộ chung cư tại The Zenpark,"Dự án The Zenpark, Đường Đông Dư, Xã Dương Xá, Gia Lâm, Hà Nội",03/05/2024,,,
15 m²,"1,9 tỷ",Đông - Bắc,Đông - Bắc,3 phòng,2 phòng,Sổ đỏ chính chủ,Nội thất cao cấp.,Hà Nội,Hai Bà Trưng,Nhà riêng tại đường Minh Khai,"Ngõ 339, Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",03/05/2024,4 m,5 tầng,2 m
70 m²,"3,5 tỷ",Đông - Bắc,Tây - Nam,2 phòng,2 phòng,Hợp đồng mua bán.,Nội thất cao cấp nhất của chủ đầu tư.,Hà Nội,Hai Bà Trưng,Căn hộ chung cư tại Hòa Bình Green City,"Dự án Hòa Bình Green City, Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",03/05/2024,,,
46 m²,"4,6 tỷ",Đông - Nam,,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,Hà Nội,Hoàng Mai,Nhà riêng tại đường Tân Mai,"Đường Tân Mai, Phường Tân Mai, Hoàng Mai, Hà Nội",03/05/2024,"4,3 m",4 tầng,5 m
110 m²,8 tỷ,Đông - Nam,Tây - Bắc,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Hà Nội,Hai Bà Trưng,Căn hộ chung cư tại Hinode City,"Hinode City, 201, Đường Minh Khai, Phường Minh Khai, Hai Bà Trưng, Hà Nội",03/05/2024,,,
94 m²,Thỏa thuận,,,3 phòng,2 phòng,,"Nhà đầy đủ nội thất: Giường tủ, bếp, tủ bếp, tủ giày, nóng lạnh, điều hòa, kệ tivi...",Hà Nội,Hà Đông,Căn hộ chung cư tại The Pride,"Dự án The Pride, Đường Tố Hữu, Phường La Khê, Hà Đông, Hà Nội",03/05/2024,,,
"51,5 m²",15 tỷ,,,11 phòng,11 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Cầu Giấy,Nhà riêng tại đường Hồ Tùng Mậu,"Đường Hồ Tùng Mậu, Phường Mai Dịch, Cầu Giấy, Hà Nội",03/05/2024,,6 tầng,
120 m²,"28,5 tỷ",,,,,Sổ đỏ/ Sổ hồng.,,Hà Nội,Hoàng Mai,Nhà mặt phố tại đường Tam Trinh,"Đường Tam Trinh, Phường Yên Sở, Hoàng Mai, Hà Nội",03/05/2024,"5,3 m",2 tầng,
170 m²,Thỏa thuận,,,,,Hợp đồng mua bán,,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại Lumi Hanoi,"Dự án Lumi Hanoi, Đường Đại lộ Thăng Long, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội.",03/05/2024,,,
45 m²,"6,4 tỷ",Tây - Bắc,,6 phòng,6 phòng,Sổ đỏ nở hậu.,,Hà Nội,Nam Từ Liêm,Nhà riêng tại đường Đại Mỗ,"63, Đường Đại Mỗ, Phường Đại Mỗ, Nam Từ Liêm, Hà Nội",03/05/2024,4 m,5 tầng,3 m
"81,6 m²","4,29 tỷ",,Đông - Nam,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ.,Hà Nội,Gia Lâm,Căn hộ chung cư tại Masteri Waterfront,"Dự án Masteri Water Front, Đường Quốc Lộ 5B, Xã Đa Tốn, Gia Lâm, Hà Nội",03/05/2024,,,
104 m²,Thỏa thuận,Tây - Bắc,Đông - Nam,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Hà Nội,Thanh Xuân,Căn hộ chung cư tại BRG Diamond Residence,"BRG Diamond Residence, 25, Đường Lê Văn Lương, Phường Nhân Chính, Thanh Xuân, Hà Nội",03/05/2024,,,
104 m²,Thỏa thuận,Đông - Bắc,Tây - Nam,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Hà Nội,Thanh Xuân,Căn hộ chung cư tại BRG Diamond Residence,"BRG Diamond Residence, 25, Đường Lê Văn Lương, Phường Nhân Chính, Thanh Xuân, Hà Nội",03/05/2024,,,
91 m²,6 tỷ,,,1 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Tây Hồ,Căn hộ chung cư tại PentStudio,"Dự án PentStudio, Đường Lạc Long Quân, Phường Phú Thượng, Tây Hồ, Hà Nội",03/05/2024,,,
46 m²,25 tỷ,Đông - Nam,,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Hà Nội,Cầu Giấy,Nhà mặt phố tại đường Mạc Thái Tổ,"Đường Mạc Thái Tổ, Phường Yên Hòa, Cầu Giấy, Hà Nội",03/05/2024,4 m,6 tầng,30 m
75 m²,21 tỷ,Tây - Bắc,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Hà Nội,Thanh Xuân,Nhà mặt phố tại đường Hoàng Văn Thái,"Đường Hoàng Văn Thái, Phường Khương Mai, Thanh Xuân, Hà Nội",03/05/2024,"3,28 m",3 tầng,30 m
154 m²,122 triệu/m²,Nam,Nam,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,"Nội thất gia đình decor để ở nên rất chỉn chu, tinh tế, hiện đại, phong cách Hàn Quốc sang trọng.",Hà Nội,Tây Hồ,Căn hộ chung cư tại KĐT Tây Hồ Tây - Starlake Hà Nội,"Dự án KĐT Tây Hồ Tây - Starlake Hà Nội, Phường Xuân La, Tây Hồ, Hà Nội",03/05/2024,,,
33 m²,"2,88 tỷ",Bắc,Bắc,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Hà Đông,Nhà riêng tại đường Quang Trung,"Đường Quang Trung, Phường Yên Nghĩa, Hà Đông, Hà Nội",03/05/2024,"3,5 m",5 tầng,3 m
108 m²,"4,2 tỷ",Tây - Nam,,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,Hà Nội,Hoàng Mai,Căn hộ chung cư tại Khu đô thị mới Linh Đàm,"Dự án KĐT Linh Đàm, Đường Đặng Xuân Bảng, Phường Đại Kim, Hoàng Mai, Hà Nội",03/05/2024,,,
258 m²,29 tỷ,Tây - Nam,Đông - Bắc,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Không nội thất,Hà Nội,Tây Hồ,Căn hộ chung cư tại Sun Grand City,"Sun Grand City, 69B, Đường Thụy Khuê, Phường Thụy Khuê, Tây Hồ, Hà Nội",03/05/2024,,,
215 m²,44 tỷ,Đông - Bắc,Đông - Bắc,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Tây Hồ,Căn hộ chung cư tại Sun Grand City,"Sun Grand City, 69, Đường Thụy Khuê, Phường Thụy Khuê, Tây Hồ, Hà Nội",03/05/2024,,,
"62,68 m²","3,27 tỷ",,Tây - Bắc,2 phòng,2 phòng,,,Hà Nội,Gia Lâm,Căn hộ chung cư tại Masteri Waterfront,"Dự án Masteri Water Front, Đường Quốc Lộ 5B, Xã Đa Tốn, Gia Lâm, Hà Nội",03/05/2024,,,
90 m²,Thỏa thuận,Đông - Bắc,Tây - Nam,3 phòng,2 phòng,Hợp đồng mua bán,Đầy đủ,Hà Nội,Gia Lâm,Căn hộ chung cư tại The Zenpark,"Dự án The Zenpark, Đường Đông Dư, Xã Dương Xá, Gia Lâm, Hà Nội.",03/05/2024,,,
95 m²,6 tỷ,Đông - Nam,Tây - Bắc,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Hà Nội,Thanh Xuân,Căn hộ chung cư tại Handico Complex,"Handico Complex, 33, Đường Lê Văn Lương, Phường Nhân Chính, Thanh Xuân, Hà Nội",03/05/2024,,,
52 m²,Thỏa thuận,Tây - Nam,Đông - Bắc,1 phòng,1 phòng,Hợp đồng mua bán,Đầy đủ,Hà Nội,Gia Lâm,Căn hộ chung cư tại Masteri Waterfront,"Dự án Masteri Water Front, Đường Quốc Lộ 5B, Xã Đa Tốn, Gia Lâm, Hà Nội",03/05/2024,,,
89 m²,"6,2 tỷ",,,2 phòng,2 phòng,,Đồ cơ bản.,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại The Zei Mỹ Đình,"Dự án The Zei Mỹ Đình, Đường Lê Đức Thọ, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",03/05/2024,,,
45 m²,"7,9 tỷ",,,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Không nội thất,Hà Nội,Hoàn Kiếm,Nhà mặt phố tại phố Hàng Bạc,"Phố Hàng Bạc, Phường Hàng Bạc, Hoàn Kiếm, Hà Nội",03/05/2024,4 m,1 tầng,
234 m²,155 tỷ,,,10 phòng,10 phòng,,,Hà Nội,Đống Đa,Nhà mặt phố tại phố Thái Hà,"Phố Thái Hà, Phường Ô Chợ Dừa, Đống Đa, Hà Nội",03/05/2024,10 m,10 tầng,40 m
116 m²,"4,4 tỷ",Tây - Nam,Đông - Bắc,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Cầu Giấy,Căn hộ chung cư tại Khu đô thị Trung Hòa - Nhân Chính,"Dự án Trung Hòa Nhân Chính, Phố Hoàng Đạo Thúy, Phường Trung Hòa, Cầu Giấy, Hà Nội",02/05/2024,,,
100 m²,6 tỷ,,,3 phòng,3 phòng,,Full nội thất.,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại Vinhomes West Point,"Dự án Vinhomes West Point, Đường Phạm Hùng, Phường Mễ Trì, Nam Từ Liêm, Hà Nội.",07/05/2024,,,
55 m²,"1,56 tỷ",,,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Hà Nội,Quốc Oai,Nhà riêng tại xã Đại Thành,"Xã Đại Thành, Quốc Oai, Hà Nội",03/05/2024,,3 tầng,
106 m²,68 triệu/m²,,,3 phòng,,Hợp đồng mua bán,,Hà Nội,Thanh Xuân,Căn hộ chung cư tại BRG Diamond Residence,"BRG Diamond Residence, 25, Đường Lê Văn Lương, Phường Nhân Chính, Thanh Xuân, Hà Nội",03/05/2024,,,
113 m²,72 triệu/m²,,,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Cầu Giấy,Căn hộ chung cư tại Indochina Plaza Hanoi,"Dự án Indochina Plaza, Đường Xuân Thủy, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",03/05/2024,,,
54 m²,Thỏa thuận,,,2 phòng,,,,Hà Nội,Hà Đông,Căn hộ chung cư tại The Charm An Hưng,"Dự án The Charm An Hưng, Đường Tố Hữu, Phường La Khê, Hà Đông, Hà Nội",03/05/2024,,,
90 m²,"4,7 tỷ",,,3 phòng,2 phòng,,Đầy đủ,Hà Nội,Thanh Xuân,Căn hộ chung cư tại Imperial Plaza,"Imperial Plaza, 360, Đường Giải Phóng, Phường Phương Liệt, Thanh Xuân, Hà Nội",03/05/2024,,,
72 m²,Thỏa thuận,,,2 phòng,,,,Hà Nội,Hà Đông,Căn hộ chung cư tại Grand Sunlake,"Dự án Grand Sunlake, Đường Trần Phú, Phường Văn Quán, Hà Đông, Hà Nội",03/05/2024,,,
"58,9 m²","3,35 tỷ",,,2 phòng,2 phòng,Hợp đồng mua bán,Đầy đủ,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại The Sakura - Vinhomes Smart City,"Dự án The Sakura - Vinhomes Smart City, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội",03/05/2024,,,
91 m²,4 tỷ,,,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,Hà Nội,Hoàng Mai,Căn hộ chung cư tại Eco Lake View,"Dự án Eco Lake View, Đường Đại Từ, Phường Đại Kim, Hoàng Mai, Hà Nội",03/05/2024,,,
100 m²,"9,5 tỷ",,,16 phòng,,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Hoàng Mai,Nhà riêng tại phố Thanh Đàm,"Phố Thanh Đàm, Phường Thanh Trì, Hoàng Mai, Hà Nội",03/05/2024,,4 tầng,
55 m²,"5,4 tỷ",,,1 phòng,,,,Hà Nội,Ba Đình,Căn hộ chung cư tại Vinhomes Metropolis - Liễu Giai,"Dự án Vinhomes Metropolis - Liễu Giai, Phố Liễu Giai, Phường Ngọc Khánh, Ba Đình, Hà Nội",03/05/2024,,,
71 m²,"4,9 tỷ",Đông - Bắc,Tây - Nam,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại The Tonkin - Vinhomes Smart City,"Dự án The Tonkin - Vinhomes Smart City, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội",03/05/2024,,,
128 m²,"6,9 tỷ",Nam,Đông,4 phòng,2 phòng,Hợp đồng mua bán,Đầy đủ,Hà Nội,Thanh Xuân,Căn hộ chung cư tại Imperial Plaza,"Imperial Plaza, 360, Đường Giải Phóng, Phường Phương Liệt, Thanh Xuân, Hà Nội",03/05/2024,,,
77 m²,"2,75 tỷ",Đông,Đông - Nam,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Hà Nội,Hoàng Mai,Căn hộ chung cư tại Khu đô thị mới Pháp Vân - Tứ Hiệp,"Dự án Pháp Vân Tứ Hiệp, Phường Hoàng Liệt, Hoàng Mai, Hà Nội",03/05/2024,,,
120 m²,"5,2 tỷ",,,3 phòng,2 phòng,Sổ đỏ chính chủ.,Để lại toàn bộ nội thất như hình.,Hà Nội,Cầu Giấy,Căn hộ chung cư tại Khu đô thị Trung Hòa - Nhân Chính,"Dự án Trung Hòa Nhân Chính, Phố Hoàng Đạo Thúy, Phường Trung Hòa, Cầu Giấy, Hà Nội",03/05/2024,,,
32 m²,"1,6 tỷ",,Đông - Bắc,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng.,"Đầy đủ full đồ,",Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại Imperia Smart City,"Dự án Imperia Smart City, Đường Đại lộ Thăng Long, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội.",03/05/2024,,,
48 m²,"2,5 tỷ",,,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại The Sapphire-Vinhomes Smart City,"Dự án The Sapphire-Vinhomes Smart City, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội",03/05/2024,,,
"30,4 m²","2,2 tỷ",Đông - Bắc,Tây - Nam,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại Masteri West Heights,"Dự án Masteri West Heights, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội",03/05/2024,,,
26 m²,"1,7 tỷ",,Tây - Nam,1 phòng,1 phòng,Đang chờ sổ,Đầy đủ,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại The Miami,"Dự án The Miami, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội",03/05/2024,,,
133 m²,7 tỷ,,,4 phòng,2 phòng,,,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại Vinhomes West Point,"Dự án Vinhomes West Point, Đường Phạm Hùng, Phường Mễ Trì, Nam Từ Liêm, Hà Nội",26/04/2024,,,
60 m²,"3,2 tỷ",,,1 phòng,1 phòng,Hợp đồng mua bán,Cơ bản,Hà Nội,Hà Đông,Căn hộ chung cư tại Tòa Tháp Thiên Niên Kỷ - Hatay Millennium,"Dự án Tòa Tháp Thiên Niên Kỷ, Đường Quang Trung, Phường Yết Kiêu, Hà Đông, Hà Nội",03/05/2024,,,
55 m²,"17,5 tỷ",,,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,Hà Nội,Hoàng Mai,Nhà mặt phố tại đường Trịnh Đình Cửu,"Đường Trịnh Đình Cửu, Phường Định Công, Hoàng Mai, Hà Nội",03/05/2024,4 m,5 tầng,12 m
70 m²,"13,6 tỷ",,,6 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Bắc Từ Liêm,Nhà riêng tại phố Phạm Tuấn Tài,"Ngõ 61, Phố Phạm Tuấn Tài, Phường Cổ Nhuế 1, Bắc Từ Liêm, Hà Nội",03/05/2024,,4 tầng,4 m
80 m²,"16,9 tỷ",,,,,Sổ đỏ,,Hà Nội,Cầu Giấy,Nhà riêng tại đường Cầu Giấy,"Đường Cầu Giấy, Phường Dịch Vọng, Cầu Giấy, Hà Nội",03/05/2024,,6 tầng,
43 m²,"1,97 tỷ",,,1 phòng,1 phòng,,,Hà Nội,Gia Lâm,Căn hộ chung cư tại The Pavilion - Vinhomes Ocean Park,"Dự án The Pavilion - Vinhomes Ocean Park, Đường Lý Thánh Tông, Xã Dương Xá, Gia Lâm, Hà Nội",03/05/2024,,,
112 m²,"6,5 tỷ",,,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Nhà đã có đầy đủ nội thất.,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại Vinhomes West Point,"Dự án Vinhomes West Point, Đường Phạm Hùng, Phường Mễ Trì, Nam Từ Liêm, Hà Nội.",03/05/2024,,,
95 m²,Thỏa thuận,,,,,Sổ đỏ/ Sổ hồng,,Hà Nội,Thanh Xuân,Nhà mặt phố tại đường Tố Hữu,"Đường Tố Hữu, Phường Nhân Chính, Thanh Xuân, Hà Nội",03/05/2024,6 m,6 tầng,
70 m²,"4,5 tỷ",Tây - Bắc,Đông - Nam,2 phòng,2 phòng,,Full.,Hà Nội,Thanh Xuân,Căn hộ chung cư tại Rivera Park Hà Nội,"Rivera Park Hà Nội, 69, Đường Vũ Trọng Phụng, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội.",03/05/2024,,,
161 m²,45 triệu/m²,,,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Cầu Giấy,Căn hộ chung cư tại Thăng Long Number One,"Dự án Thăng Long Number One, Phường Trung Hòa, Cầu Giấy, Hà Nội",03/05/2024,,,
46 m²,"1,71 tỷ",Đông - Nam,Tây - Bắc,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Có nội thất.,Hà Nội,Gia Lâm,Căn hộ chung cư tại Vinhomes Ocean Park Gia Lâm,"Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội",03/05/2024,,,
66 m²,4 tỷ,,,2 phòng,2 phòng,,,Hà Nội,Thanh Xuân,Căn hộ chung cư tại The Golden Palm Lê Văn Lương,"The Golden Palm Lê Văn Lương, 21, Đường Lê Văn Lương, Phường Nhân Chính, Thanh Xuân, Hà Nội",03/05/2024,,,
97 m²,"6,5 tỷ",Tây - Bắc,Đông - Nam,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Thanh Xuân,Căn hộ chung cư tại Imperia Garden,"Dự án Imperia Garden, Đường Nguyễn Huy Tưởng, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội",03/05/2024,,,
83 m²,"5,8 tỷ",Nam,Bắc,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Hai Bà Trưng,Căn hộ chung cư tại Times City,"Dự án Times City, Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",03/05/2024,,,
77 m²,"4,5 tỷ",Tây - Nam,Đông - Bắc,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Thanh Xuân,Căn hộ chung cư tại Hapulico Complex,"Dự án Hapulico Complex, Đường Vũ Trọng Phụng, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội",03/05/2024,,,
87 m²,"5,8 tỷ",Nam,Bắc,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Hai Bà Trưng,Căn hộ chung cư tại Times City,"Dự án Times City, Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",03/05/2024,,,
84 m²,"4,2 tỷ",,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Full.,Hà Nội,Thanh Xuân,Căn hộ chung cư tại Five Star Kim Giang,"Dự án Five Star Kim Giang, Đường Kim Giang, Phường Kim Giang, Thanh Xuân, Hà Nội",03/05/2024,,,
117 m²,"8,79 tỷ",Đông,Đông - Nam,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Cầu Giấy,Căn hộ chung cư tại Chung cư The Nine,"Dự án The Nine, Đường Phạm Văn Đồng, Phường Mai Dịch, Cầu Giấy, Hà Nội",03/05/2024,,,
